queue_rank,unique_id,name,facility_type,operator_type,address_city,address_state,pincode,district_reference,pincode_join_confidence,readiness_score,completeness_score,evidence_support_score,consistency_score,high_leverage_score,review_priority_score,flag_count,high_severity_flag_count,primary_issue,review_status,evidence_validation_status
20,7879815f-1f73-43d4-9edb-35b30259df32,Rajiv Gandhi Institute of Chest Diseases,hospital,public,Bengaluru,Karnataka,560029,BENGALURU URBAN,exact_reference_mapping,73.51,100.0,51.71,60.0,83.76,40.81,6,1,uncorroborated_critical_care_claim,unreviewed,claim_level_source_alignment_unverified
21,7ab574db-80af-40d5-8b20-2b0a7dfafba1,KEM Hospital Pune,hospital,private,Pune,Maharashtra,411011,PUNE,exact_reference_mapping,76.44,100.0,61.48,60.0,92.28,40.74,8,1,placeholder_or_negative_claim,unreviewed,claim_level_source_alignment_unverified
22,253a699b-b565-4691-b6d9-34333f3296ba,Andhra Hospitals,hospital,private,Vijayawada,Andhra Pradesh,520002,NTR,exact_reference_mapping,77.24,100.0,69.14,55.0,94.47,40.69,7,3,placeholder_or_negative_claim,unreviewed,claim_level_source_alignment_unverified
23,9913a22f-2bab-492c-b14f-764f1fb33a64,Medical Trust Hospital,hospital,private,Kochi,Kerala,682016,ERNAKULAM,exact_reference_mapping,75.3,100.0,57.67,60.0,88.09,40.55,10,4,placeholder_or_negative_claim,unreviewed,claim_level_source_alignment_unverified
24,bbdf6de2-17ba-4029-a7e5-81e902b11067,Osmania General Hospital,hospital,public,Hyderabad,Telangana,500012,HYDERABAD,exact_reference_mapping,78.18,100.0,57.25,70.0,95.98,40.36,7,1,uncorroborated_critical_care_claim,unreviewed,claim_level_source_alignment_unverified
25,679c721f-5eba-4eb4-a48d-720edcf9d8ef,Sub District Hospital Karad,hospital,public,Karad,Maharashtra,416114,KOLHAPUR,exact_reference_mapping,64.0,79.0,48.0,60.0,53.4,40.35,6,4,invalid_claim_structure,unreviewed,claim_level_source_alignment_unverified
26,1ec90a4b-3757-40ec-af97-33985fcc5996,"GBH American Hospital, Udaipur",hospital,private,Udaipur,Rajasthan,313001,UDAIPUR,exact_reference_mapping,76.37,100.0,61.22,60.0,90.18,40.27,8,2,uncorroborated_emergency_trauma_claim,unreviewed,claim_level_source_alignment_unverified
27,320add3e-1571-45a1-b56f-27736f35c4aa,Manipal Hospitals,hospital,private,Bengaluru,Karnataka,560017,BENGALURU URBAN,exact_reference_mapping,77.05,100.0,63.51,60.0,92.09,40.24,6,1,placeholder_or_negative_claim,unreviewed,claim_level_source_alignment_unverified
28,428d8e2b-29f4-408d-9030-fb57e7238590,Shridevi Institute Of Medical Sciences & Research Hospital,hospital,private,Tumkur,Karnataka,572106,TUMAKURU,exact_reference_mapping,67.36,95.0,47.88,50.0,63.05,40.24,6,0,missing_or_invalid_number_doctors,unreviewed,claim_level_source_alignment_unverified
29,b288467c-117e-47fe-81b5-7bb8dcf494b3,Hzb Arogyam Multispeciality Hospital,hospital,private,Hazaribagh,Jharkhand,825301,HAZARIBAGH,exact_reference_mapping,67.71,90.0,50.69,55.0,64.03,40.23,8,4,missing_or_invalid_coordinates,unreviewed,claim_level_source_alignment_unverified
30,09571e22-74ba-492d-a6b9-f1a9783af3ab,Civil Hospital,hospital,public,Ahmedabad,Gujarat,380016,AHMADABAD,exact_reference_mapping,76.8,100.0,67.68,55.0,90.22,39.96,6,3,placeholder_or_negative_claim,unreviewed,claim_level_source_alignment_unverified
31,a9b56d47-b5d7-43d4-9d16-7dcb73775bc1,Silchar Medical College & Hospital,hospital,public,Silchar,Assam,788014,CACHAR,exact_reference_mapping,78.63,100.0,58.76,70.0,95.45,39.89,7,2,placeholder_or_negative_claim,unreviewed,claim_level_source_alignment_unverified
32,d90e95c1-1259-4ea4-8e6a-62407163122c,Koyili Hospital,hospital,,Kannur,Kerala,670004,KANNUR,exact_reference_mapping,65.24,90.0,47.47,50.0,54.79,39.77,10,1,uncorroborated_emergency_trauma_claim,unreviewed,claim_level_source_alignment_unverified
33,c8cc5bbb-96a2-4d90-bb53-88d9135f11eb,Muzaffarnagar Medical College,hospital,private,Muzaffarnagar,Uttar Pradesh,251203,MUZAFFARNAGAR,exact_reference_mapping,76.54,100.0,51.81,70.0,88.64,39.75,7,1,uncorroborated_emergency_trauma_claim,unreviewed,claim_level_source_alignment_unverified
34,4d26b092-8f67-4609-909e-4f3403fa09c5,Aster Prime Hospital,hospital,private,Hyderabad,Telangana,500038,HYDERABAD,exact_reference_mapping,76.75,100.0,62.5,60.0,88.84,39.65,8,4,placeholder_or_negative_claim,unreviewed,claim_level_source_alignment_unverified
35,f0af794d-9600-4ba4-8576-a7d6c3176941,St.Thomas Hospital in Chennai,hospital,private,Chennai,Tamil Nadu,600016,CHENNAI,exact_reference_mapping,66.93,93.0,49.09,50.0,59.2,39.6,8,1,missing_or_invalid_capacity,unreviewed,claim_level_source_alignment_unverified
36,082c1e59-7d97-4dec-ba8b-0c3d4ce4bb43,"Holy Cross Super Speciality Hospital, Kottiyam, Kollam",hospital,private,Kottiyam,Kollam,691571,KOLLAM,exact_reference_mapping,69.59,95.0,55.29,50.0,67.02,39.56,12,3,placeholder_or_negative_claim,unreviewed,claim_level_source_alignment_unverified
37,aa9f112c-606f-471f-9542-b3e414045573,Kumaran Hospital,hospital,private,Chennai,Tamil Nadu,,,invalid_pincode,75.46,95.0,64.88,60.0,84.24,39.47,7,1,missing_or_invalid_pincode,unreviewed,claim_level_source_alignment_unverified
38,8e2224ab-e6d4-4241-aea5-e9ab67525034,Disha Eye Hospital,hospital,private,Kolkata,West Bengal,700120,24 PARAGANAS NORTH,exact_reference_mapping,78.66,100.0,58.87,70.0,93.8,39.46,3,0,empty_claim_entry,unreviewed,claim_level_source_alignment_unverified
39,cf9ffe58-cb84-496e-aa70-e4c15b596fa8,"Believers Church Medical College Hospital, Thiruvalla, Kerala, India",hospital,private,Thiruvalla,Kerala,689103,PATHANAMTHITTA,exact_reference_mapping,73.96,100.0,53.21,60.0,79.38,39.38,12,4,placeholder_or_negative_claim,unreviewed,claim_level_source_alignment_unverified
40,7e08f70c-6fc4-49f8-a1e9-fdddda2e0469,Omega Hospital,hospital,private,Hyderabad,Telengana,530040,VISAKHAPATANAM,exact_reference_mapping,75.68,100.0,58.94,60.0,84.53,39.37,8,1,uncorroborated_critical_care_claim,unreviewed,claim_level_source_alignment_unverified
41,30ed41d1-ce7e-4936-9569-cb59d2990443,Patna Medical College & Hospital,hospital,public,Patna,Bihar,800004,PATNA,exact_reference_mapping,80.02,100.0,73.41,60.0,97.51,39.36,3,0,empty_claim_entry,unreviewed,claim_level_source_alignment_unverified
42,9226ba4b-c128-413e-91df-632e02b26dd6,Blue Wheel Hospital,hospital,private,Bhubaneshwar,Odisha,751010,KHORDHA,exact_reference_mapping,75.88,95.0,56.25,70.0,85.04,39.35,9,1,uncorroborated_emergency_trauma_claim,unreviewed,claim_level_source_alignment_unverified
43,1a62801f-4ddb-43e0-81cc-182cb1311171,King Edward Memorial Hospital,hospital,public,Mumbai,Maharashtra,400012,MUMBAI,exact_reference_mapping,80.39,100.0,74.62,60.0,98.53,39.34,4,1,placeholder_or_negative_claim,unreviewed,claim_level_source_alignment_unverified
44,b5684c1d-6ff4-49a5-b295-6550c49a172d,Sal Hospital and Medical Institute,hospital,private,Ahmedabad,Gujarat,380054,AHMADABAD,exact_reference_mapping,76.83,100.0,52.78,70.0,87.73,39.31,5,1,uncorroborated_emergency_trauma_claim,unreviewed,claim_level_source_alignment_unverified
45,b950231d-189b-4244-b453-87f34ac5a68c,Bima Hospital,hospital,private,Indore,Indore,474005,GWALIOR,exact_reference_mapping,73.1,95.0,46.99,70.0,76.14,39.21,10,2,uncorroborated_critical_care_claim,unreviewed,claim_level_source_alignment_unverified
46,cde09708-4765-41a5-9e23-40ddfd833e3b,Chord Road Hospital,hospital,private,Basaveshwaranagar,Karnataka,560079,BENGALURU URBAN,exact_reference_mapping,72.28,100.0,57.6,50.0,73.6,39.19,9,1,uncorroborated_emergency_trauma_claim,unreviewed,claim_level_source_alignment_unverified
47,88c2565a-8801-4899-9745-6070316eb745,Rajarajeswari Medical College and Hospital,hospital,private,Bengaluru,Karnataka,562114,BENGALURU RURAL,exact_reference_mapping,79.89,100.0,62.98,70.0,96.41,39.18,5,1,uncorroborated_emergency_trauma_claim,unreviewed,claim_level_source_alignment_unverified
48,acde9be7-1859-4c30-a5aa-71f18a4f590e,"Civil Hospital, Panipat",hospital,public,Panipat,Haryana,132103,PANIPAT,exact_reference_mapping,71.61,95.0,57.05,55.0,71.52,39.17,6,3,uncorroborated_critical_care_claim,unreviewed,claim_level_source_alignment_unverified
49,1c06c3fb-d30f-4c9b-a12b-37e8745d68ca,"Jagadguru Kripalu Chikitsalaya - Barsana, Uttar Pradesh",hospital,private,Barsana,Uttar Pradesh,230204,PRATAPGARH,exact_reference_mapping,65.2,95.0,55.68,35.0,52.29,39.17,9,1,capacity_claim_disagreement,unreviewed,claim_level_source_alignment_unverified
50,7fcd1e71-fa80-4108-9432-d9fd6a05d7bb,P.D. Hinduja Sindhi Hospital,hospital,private,Bangalore,Karnataka,560027,BENGALURU URBAN,exact_reference_mapping,75.82,100.0,59.4,60.0,83.85,39.1,7,2,uncorroborated_critical_care_claim,unreviewed,claim_level_source_alignment_unverified
51,ecd07024-da17-4193-ad64-f67139165116,Care Hospitals,hospital,private,Hyderabad,Telangana,530002,VISAKHAPATANAM,exact_reference_mapping,72.58,100.0,73.61,35.0,74.08,39.08,4,1,state_pincode_disagreement,unreviewed,claim_level_source_alignment_unverified
52,dd1f9efd-01bb-4250-8c90-8bbd1b3cada2,Vijaya Hospital,hospital,private,Chennai,Tamil Nadu,629002,KANNIYAKUMARI,exact_reference_mapping,77.87,100.0,66.23,60.0,89.71,39.02,5,1,uncorroborated_neonatal_claim,unreviewed,claim_level_source_alignment_unverified
53,d6d11a55-17a6-434e-9db7-ed74c13bfa6a,Saravana Multispeciality Hospital,hospital,private,Madurai,Tamil Nadu,625002,MADURAI,exact_reference_mapping,73.81,100.0,62.7,50.0,77.38,38.99,7,1,uncorroborated_neonatal_claim,unreviewed,claim_level_source_alignment_unverified
54,aa4e0ded-d7bb-4fb4-ae1b-0b76c0a60daa,Inamdar Multispecialty Hospital,hospital,private,Pune,Maharashtra,411040,PUNE,exact_reference_mapping,76.35,100.0,51.17,70.0,84.95,38.98,9,2,uncorroborated_critical_care_claim,unreviewed,claim_level_source_alignment_unverified
55,58f1d117-1043-4761-abc2-254274e11cd7,District Hospital Durg,hospital,public,Durg,Chhattisgarh,262701,KHERI,exact_reference_mapping,70.32,95.0,52.73,55.0,66.81,38.96,7,2,placeholder_or_negative_claim,unreviewed,claim_level_source_alignment_unverified
56,08344cdb-f455-4c22-8d31-a0a8e849124b,MOSC Medical College Hospital,hospital,private,Kolenchery,Kerala,682311,ERNAKULAM,exact_reference_mapping,72.17,95.0,63.89,50.0,72.06,38.89,8,2,placeholder_or_negative_claim,unreviewed,claim_level_source_alignment_unverified
57,736416dc-e905-41fe-9556-62d1fe2694db,"Sparsh Super Speciality Hospital (Y), Yeshwantpur",hospital,private,Bengaluru,Karnataka,562107,BENGALURU URBAN,exact_reference_mapping,78.66,100.0,68.88,60.0,91.52,38.89,4,0,empty_claim_entry,unreviewed,claim_level_source_alignment_unverified
58,4979a38e-c134-4b51-a4ee-298e43dd9b46,"Government Peripheral Hospital, Periyar Nagar, Chennai",hospital,public,Chennai,Tamil Nadu,600102,CHENNAI,exact_reference_mapping,76.77,100.0,62.56,60.0,85.8,38.87,7,0,empty_claim_entry,unreviewed,claim_level_source_alignment_unverified
59,4616c935-ae1b-4d40-ae5a-3d6c31a90206,Government Medical College And Hospital Chandrapur,hospital,public,Chandrapur,Maharashtra,440018,NAGPUR,exact_reference_mapping,72.8,95.0,66.0,50.0,73.85,38.86,6,0,missing_or_invalid_number_doctors,unreviewed,claim_level_source_alignment_unverified
60,545b67ba-4982-4b51-91ff-d3325a04f368,"Topiwala National Medical College and BYL Nair Charitable Hospital, Mumbai",hospital,public,Mumbai,Maharashtra,,,invalid_pincode,72.08,90.0,60.28,60.0,71.59,38.84,10,2,missing_or_invalid_pincode,unreviewed,claim_level_source_alignment_unverified
61,53d08e4b-4dc9-4781-9b85-d4e3464aef9a,Kailash Hospital,hospital,private,Greater Noida West,Uttar Pradesh,208001,,ambiguous_reference_mapping,77.9,95.0,52.99,80.0,88.79,38.77,6,1,uncorroborated_emergency_trauma_claim,unreviewed,claim_level_source_alignment_unverified
62,e8396ece-9b70-4b1f-aa01-85d88ecbc9c3,Ford Hospital And Research Center,hospital,private,Patna,Bihar,800027,PATNA,exact_reference_mapping,74.46,100.0,64.85,50.0,78.29,38.73,5,1,uncorroborated_emergency_trauma_claim,unreviewed,claim_level_source_alignment_unverified
63,6c930e97-5b6d-4a21-bd29-041f1676cf21,"Gandhi Hospital, Secunderabad, Telangana, India",hospital,public,Secunderabad,Telangana,500003,HYDERABAD,exact_reference_mapping,70.29,95.0,47.63,60.0,65.71,38.71,8,1,uncorroborated_emergency_trauma_claim,unreviewed,claim_level_source_alignment_unverified
64,c815b7c7-aaff-4cbd-a5ed-f695166514a1,Sudha Hospital & Medical Research Centre,hospital,private,Kota,Rajasthan,324005,KOTA,exact_reference_mapping,76.62,100.0,62.07,60.0,84.64,38.69,9,2,placeholder_or_negative_claim,unreviewed,claim_level_source_alignment_unverified
65,24c77ca0-9850-49a1-a8f3-e7d035b4ade9,"KJ Somaiya Hospital and Research Centre, Mumbai, Maharashtra, India",hospital,private,Mumbai,Maharashtra,401107,THANE,exact_reference_mapping,69.7,95.0,55.66,50.0,63.69,38.65,11,3,uncorroborated_critical_care_claim,unreviewed,claim_level_source_alignment_unverified
66,cd2947f1-64e1-4a85-ba4a-1231895f1382,"Pacific Medical College and Hospital, Girwa",hospital,private,Udaipur,Rajasthan,313024,UDAIPUR,exact_reference_mapping,78.23,100.0,47.43,80.0,89.15,38.61,6,2,uncorroborated_critical_care_claim,unreviewed,claim_level_source_alignment_unverified
67,295b475d-e7ac-468f-9f48-447391f38984,Jawaharlal Nehru Institute of Medical Sciences,hospital,public,Imphal,Manipur,795005,IMPHAL EAST,exact_reference_mapping,76.8,100.0,52.65,70.0,84.74,38.58,7,2,uncorroborated_critical_care_claim,unreviewed,claim_level_source_alignment_unverified
68,c9518151-2032-4f53-823b-d42acd0aad95,HCG Multi Specialty Hospital,hospital,private,Ahmedabad,Gujarat,380006,AHMADABAD,exact_reference_mapping,72.88,95.0,46.27,70.0,72.86,38.56,5,1,uncorroborated_emergency_trauma_claim,unreviewed,claim_level_source_alignment_unverified
69,37fd5d46-e1cb-458e-9a64-9d85dada49ee,Sania Hospital,hospital,public,Alwar,Rajasthan,335523,HANUMANGARH,exact_reference_mapping,78.58,100.0,68.59,60.0,89.88,38.53,4,0,empty_claim_entry,unreviewed,claim_level_source_alignment_unverified
70,a83112ff-48ab-4c84-a3ca-89e3ed6fd23b,Global Hospital Pune,hospital,private,Pune,Maharashtra,401303,PALGHAR,exact_reference_mapping,80.93,100.0,66.44,70.0,96.85,38.51,4,1,uncorroborated_emergency_trauma_claim,unreviewed,claim_level_source_alignment_unverified
71,86239f9a-871e-4a4d-b929-8863aa07db03,Voluntary Health Services,hospital,private,Chennai,Tamil Nadu,600113,CHENNAI,exact_reference_mapping,77.24,100.0,64.12,60.0,85.6,38.47,7,2,placeholder_or_negative_claim,unreviewed,claim_level_source_alignment_unverified
72,4fe96b09-dfda-4575-a203-5f6458eff759,Apple Saraswati Multispeciality Hospital,hospital,private,Kolhapur,Maharashtra,416003,KOLHAPUR,exact_reference_mapping,74.84,100.0,46.12,70.0,78.29,38.44,9,2,uncorroborated_critical_care_claim,unreviewed,claim_level_source_alignment_unverified
73,bbf46f87-47c0-4be1-a0ea-808e6f889df5,General Hospital Ernakulam,hospital,public,Ernakulam,Kerala,682011,ERNAKULAM,exact_reference_mapping,73.96,100.0,63.2,50.0,75.31,38.36,9,3,placeholder_or_negative_claim,unreviewed,claim_level_source_alignment_unverified
74,47de9126-32d1-40e3-ae92-74c72b6ed9b2,Maa Ram Pyari Hospital,hospital,private,Ranchi,Jharkhand,834001,RANCHI,exact_reference_mapping,75.27,100.0,47.57,70.0,79.04,38.31,10,2,uncorroborated_critical_care_claim,unreviewed,claim_level_source_alignment_unverified
75,3ef783e8-3f3d-416a-bf7b-4bd9781e9286,Kovai Medical Centre and Hospital Coimbatore,hospital,private,Coimbatore,Tamil Nadu,641014,COIMBATORE,exact_reference_mapping,80.42,100.0,74.75,60.0,94.49,38.31,3,0,empty_claim_entry,unreviewed,claim_level_source_alignment_unverified
76,b49717c4-63ac-491f-8a04-e3160829593a,"Rangadore Memorial Hospital, Bengaluru",hospital,private,Bengaluru,Karnataka,560004,BENGALURU URBAN,exact_reference_mapping,78.34,100.0,57.8,70.0,88.24,38.3,7,1,uncorroborated_neonatal_claim,unreviewed,claim_level_source_alignment_unverified
77,1df3d3c4-c4d3-446d-a687-9d5841a57d84,Fortis Hospital at Ludhiana - Punjab,hospital,private,Ludhiana,Punjab,160062,S.A.S NAGAR,exact_reference_mapping,80.01,100.0,63.38,70.0,93.15,38.28,7,2,placeholder_or_negative_claim,unreviewed,claim_level_source_alignment_unverified
78,23636b45-7a77-4c64-b0eb-afffe9c93ec9,Shrimati Jayaben Mody Hospital,hospital,private,Ankleshwar,Gujarat,393002,BHARUCH,exact_reference_mapping,74.0,100.0,53.33,60.0,75.14,38.28,7,1,uncorroborated_emergency_trauma_claim,unreviewed,claim_level_source_alignment_unverified
79,4f1b6e2b-804d-4883-be04-e5ccd2a3c46b,Okay Diagnostic Center,hospital,private,Jaipur,Rajasthan,342011,JODHPUR,exact_reference_mapping,81.59,100.0,48.62,90.0,97.77,38.25,4,2,uncorroborated_critical_care_claim,unreviewed,claim_level_source_alignment_unverified
80,0afa0b00-0807-4d1d-9eec-d620eb199be0,Bhaskara hospital,hospital,,Hyderabad,Andhra Pradesh,500055,MEDCHAL MALKAJGIRI,exact_reference_mapping,60.1,88.0,58.0,25.0,33.18,38.22,8,2,missing_or_invalid_capacity,unreviewed,claim_level_source_alignment_unverified
81,0bbacaa8-071a-473f-84a9-e3b5ef12208c,Catherine Booth Hospital,hospital,private,Nagercoil,Tamil Nadu,629001,KANNIYAKUMARI,exact_reference_mapping,75.73,100.0,59.09,60.0,80.04,38.21,5,1,uncorroborated_critical_care_claim,unreviewed,claim_level_source_alignment_unverified
82,45a4db60-3363-4247-9840-8b2bef266a69,Aadhya Hospital Kidney Care Center,hospital,private,Madanapalle,Andhra Pradesh,517325,ANNAMAYYA,exact_reference_mapping,78.75,95.0,55.82,80.0,89.01,38.19,6,2,placeholder_or_negative_claim,unreviewed,claim_level_source_alignment_unverified
83,f730b829-4726-4ece-909a-85174e51859c,Medanta,hospital,public,Gurugram,Haryana,122001,GURUGRAM,exact_reference_mapping,70.03,95.0,56.77,50.0,62.84,38.19,8,0,missing_or_invalid_number_doctors,unreviewed,claim_level_source_alignment_unverified
84,bc3bb6d6-419c-4db9-94d9-63f61e1d72a1,Cheema Medical Complex,hospital,private,Mohali,Chandigarh,160055,S.A.S NAGAR,exact_reference_mapping,79.88,100.0,57.94,75.0,92.09,38.11,4,3,state_pincode_disagreement,unreviewed,claim_level_source_alignment_unverified
85,257efb93-0148-431c-a2d0-c81e8dbff406,Medicover Woman & Child Hospitals,hospital,private,Visakhapatnam,Andhra Pradesh,530022,VISAKHAPATANAM,exact_reference_mapping,76.04,95.0,56.79,70.0,80.35,38.06,10,3,uncorroborated_critical_care_claim,unreviewed,claim_level_source_alignment_unverified
86,4b7af570-9cf8-44a3-adec-a47b5d0b7715,Narhari Hospital,hospital,private,Vadodara,Gujarat,390002,VADODARA,exact_reference_mapping,76.48,95.0,58.26,70.0,81.62,38.04,7,2,uncorroborated_critical_care_claim,unreviewed,claim_level_source_alignment_unverified
87,54729c24-1538-44e3-8876-bd1050d50077,BAPS Yogiji Maharaj Hospital,hospital,private,Ahmedabad,Gujarat,,,invalid_pincode,72.2,95.0,54.01,60.0,68.46,37.96,8,2,missing_or_invalid_pincode,unreviewed,claim_level_source_alignment_unverified
88,c15da265-c0a5-4986-ae91-7f8421abe308,Nizam's Institute of Medical Sciences,hospital,public,Hyderabad,Telangana,,,invalid_pincode,73.39,90.0,64.63,60.0,71.89,37.93,11,3,missing_or_invalid_pincode,unreviewed,claim_level_source_alignment_unverified
89,38fea490-12d3-490c-8903-2e5922b076ac,Aster Aadhar Hospital,hospital,private,Kolhapur,Maharashtra,416008,KOLHAPUR,exact_reference_mapping,79.53,95.0,58.43,80.0,90.31,37.93,6,2,uncorroborated_emergency_trauma_claim,unreviewed,claim_level_source_alignment_unverified
90,534796f2-f78b-48c3-9ece-354a216e50e1,"KIMS Hospitals, Hyderabad",hospital,private,Secunderabad,Telangana,500084,HYDERABAD,exact_reference_mapping,78.56,100.0,68.55,60.0,87.35,37.92,4,0,empty_claim_entry,unreviewed,claim_level_source_alignment_unverified
91,0bd90185-0b91-42f5-bca5-a518d83e5fe4,St. Martha's Hospital,hospital,private,Bengaluru,Karnataka,560001,BENGALURU URBAN,exact_reference_mapping,71.89,95.0,62.97,50.0,67.07,37.85,8,1,placeholder_or_negative_claim,unreviewed,claim_level_source_alignment_unverified
92,3cf1514d-f6b1-4279-a9fe-2d28404ff403,Neera Hospital,hospital,private,Lucknow,Uttar Pradesh,226006,LUCKNOW,exact_reference_mapping,75.98,100.0,59.92,60.0,79.29,37.84,6,1,uncorroborated_critical_care_claim,unreviewed,claim_level_source_alignment_unverified
93,579acb48-18ec-40ef-b7be-29de18d9ed5c,Sri Maharaja Hari Singh Hospital,hospital,public,Srinagar,Jammu And Kashmir,190010,SRINAGAR,exact_reference_mapping,76.15,100.0,60.49,60.0,79.65,37.8,5,0,empty_claim_entry,unreviewed,claim_level_source_alignment_unverified
