source_row_number,unique_id,name,scoring_eligible,intake_issue_codes,facilityTypeId,facility_type_normalized,facility_type_normalization_action,operatorTypeId,operator_type_normalized,operator_type_normalization_action,address_zipOrPostcode,pincode_normalized,pincode_reference_status,pincode_join_confidence
111,0a77c719-b39a-423f-821e-16a965dd95fb,S.S. Dental Hospital,True,,clinic,clinic,unchanged,private,private,unchanged,500032,500032,ambiguous_district,ambiguous_reference_mapping
120,Dr. Gita Khanna has established Ajanta Hospital and IVF Centre a 100 plus bedded multispeciality hospital of International repute. The state of art IVF Centre of this hospital combines quality, and accountability in equal measures and is providing assisted reproduction techniques of International standards within the reach of every individual. Dr. Anil Khanna has also established Ajanta Hospital,False,invalid_unique_id|invalid_organization_type,"{""coordinates"":[80.99068450927734,26.885332107543945],""type"":""Point""}",,unmapped,26.885332107543945,,unmapped,528,,,invalid_pincode
122,1d3eba0c-607c-4195-a818-11147ff5d301,Chettinad Hospital and Research Institute,True,,hospital,hospital,unchanged,private,private,unchanged,603 103,,,invalid_pincode
126,231f141f-cc05-42a9-949a-accf4bab933c,United CIIGMA Hospital,True,,hospital,hospital,unchanged,private,private,unchanged,430115,430115,,unresolved
129,25da3435-6114-4742-898b-f1cbcd471e43,Asian Institute of Gastroenterology,True,,hospital,hospital,unchanged,private,private,unchanged,500 082,,,invalid_pincode
130,2770287f-f0a9-4530-b54e-e20f3d8b5a54,"Brahmananda Narayana Multispeciality Hospital, Jamshedpur",True,,hospital,hospital,unchanged,private,private,unchanged,831012,831012,district_mode_selected,ambiguous_reference_mapping
150,39d34a57-8579-4c30-bd0a-84ff0219c317,Sanjay Gandhi Post Graduate Institute of Medical Sciences,True,,hospital,hospital,unchanged,public,public,unchanged,226 014,,,invalid_pincode
159,500deb79-33dc-42b7-bf20-299c89a63281,Saifee Hospital Mumbai India,True,,hospital,hospital,unchanged,private,private,unchanged,400010,400010,district_mode_selected,ambiguous_reference_mapping
163,54946f79-25d8-40a7-b43b-9e41b888fd5d,Kamakshi Memorial Hospital,True,,hospital,hospital,unchanged,private,private,unchanged,600 100,,,invalid_pincode
173,5f23c957-e5fa-4c66-b850-079f66027342,Sri Krishna Hospital (Proddutur),True,,hospital,hospital,unchanged,private,private,unchanged,516430,516430,,unresolved
185,73c876e1-fda5-48eb-9a93-27e2763b25ff,Medica North Bengal Clinic Siliguri,True,,hospital,hospital,unchanged,private,private,unchanged,734001,734001,district_mode_selected,ambiguous_reference_mapping
196,80bf74d5-9308-4525-9309-c8ea1536e231,Sankara Nethralaya,True,,hospital,hospital,unchanged,private,private,unchanged,600 006,,,invalid_pincode
203,8899400e-c17d-4eb4-a07e-77565f6027af,"Sri Sathya Sai Super Speciality Hospital COVID care centre, Puttaparthi",True,,hospital,hospital,unchanged,private,private,unchanged,515134,515134,district_mode_selected,ambiguous_reference_mapping
208,8ed2e983-dadf-4caf-b9fa-821975ef8394,CritiCare Asia Multispeciality Hospital Kurla,True,,hospital,hospital,unchanged,private,private,unchanged,400039,400039,,unresolved
231,aa9f112c-606f-471f-9542-b3e414045573,Kumaran Hospital,True,,hospital,hospital,unchanged,private,private,unchanged,10,,,invalid_pincode
260,cd31ac18-0f32-476b-b5a5-879a73ae098d,KD Hospital,True,,hospital,hospital,unchanged,private,private,unchanged,382421,382421,district_mode_selected,ambiguous_reference_mapping
279,e3f82805-a58a-4090-80a2-f68b60298b91,Balco Medical Centre,True,,hospital,hospital,unchanged,private,private,unchanged,493661,493661,district_mode_selected,ambiguous_reference_mapping
281,e6e7c8da-62a6-46fe-8e21-b1a568782cdd,Aditya Hospitals,True,,hospital,hospital,unchanged,private,private,unchanged,504215,504215,ambiguous_state,ambiguous_reference_mapping
305,0564ac18-9b8c-412d-9423-404067c4f820,Malik Radix Health Care,True,,clinic,clinic,unchanged,private,private,unchanged,110092,110092,district_mode_selected,ambiguous_reference_mapping
314,0cf03fec-f7a4-48c3-a3de-71ca4a054def,Civil Hospital,True,,hospital,hospital,unchanged,public,public,unchanged,121102,121102,district_mode_selected,ambiguous_reference_mapping
315,0ed06201-4757-458e-afc3-e4dd6ead237f,Dr. Mehta's Hospitals,True,,hospital,hospital,unchanged,private,private,unchanged,600 031,,,invalid_pincode
338,1f43a674-aa3d-4c59-a9d6-6c89cb535778,Life Care Hospital,True,,hospital,hospital,unchanged,private,private,unchanged,144203,144203,,unresolved
351,2662d749-586e-4917-a6b3-f16a93f1c652,Umkal Hospital,True,,hospital,hospital,unchanged,private,private,unchanged,122022,122022,,unresolved
358,2eeec3cb-0514-4547-b62d-c513a5b0567c,Pushpanjali Medical Centre,True,,clinic,clinic,unchanged,private,private,unchanged,110092,110092,district_mode_selected,ambiguous_reference_mapping
372,3c4af8ee-64fb-4f29-899c-5cf11706b93d,Jivanjyot Hospital,True,,hospital,hospital,unchanged,public,public,unchanged,363330,363330,district_mode_selected,ambiguous_reference_mapping
383,469f772c-e98e-48bd-b746-463bcf64f08e,Sri Jayadeva Institute of Cardiology,True,,hospital,hospital,unchanged,public,public,unchanged,560 069,,,invalid_pincode
388,4bbe69d9-4123-4f70-894e-373fcefd9e01,Muljibhai Patel Urological Hospital,True,,hospital,hospital,unchanged,private,private,unchanged,387 001,,,invalid_pincode
390,4c94dfcb-fe8d-4595-86db-dc83b82c6e85,Shri Vinoba Bhave Civil Hospital,True,,hospital,hospital,unchanged,public,public,unchanged,396230,396230,ambiguous_state,ambiguous_reference_mapping
398,545b67ba-4982-4b51-91ff-d3325a04f368,"Topiwala National Medical College and BYL Nair Charitable Hospital, Mumbai",True,,hospital,hospital,unchanged,public,public,unchanged,400 008,,,invalid_pincode
419,6a3479c1-2331-4002-8dac-97ad062b99a9,Sai Institute of Higher Medical Sciences?,True,,hospital,hospital,unchanged,private,private,unchanged,560067,560067,ambiguous_district,ambiguous_reference_mapping
423,6d83d8b1-c873-4244-b423-caf2b624b473,Jain Hospital,True,,hospital,hospital,unchanged,private,private,unchanged,335513,335513,ambiguous_state,ambiguous_reference_mapping
432,717c6f01-7802-4cb6-838e-3fbd0063b201,AMRI Hospital,True,,hospital,hospital,unchanged,private,private,unchanged,700098,700098,,unresolved
436,780e8b7b-bfe1-4c5b-834f-069bc956f5ce,AAKASH HOSPITAL,True,,hospital,hospital,unchanged,private,private,unchanged,382421,382421,district_mode_selected,ambiguous_reference_mapping
459,8a726189-8efb-4222-a220-98731feac861,Sai Siddhi Urology and Multispeciality Hospital,True,,hospital,hospital,unchanged,private,private,unchanged,122022,122022,,unresolved
507,ba37fc5d-ab00-4b0c-987a-dfa6550bd9e8,"Government Maternity Hospital, Tirupati",True,,hospital,hospital,unchanged,public,public,unchanged,517507,517507,district_mode_selected,ambiguous_reference_mapping
510,bc13473f-27b7-48a2-b3ec-9ac8cff05c74,Arya Vaidya Sala,True,,farmacy,pharmacy,corrected_typo,private,private,unchanged,673592,673592,exact,exact_reference_mapping
519,c15da265-c0a5-4986-ae91-7f8421abe308,Nizam's Institute of Medical Sciences,True,,hospital,hospital,unchanged,public,public,unchanged,500 082,,,invalid_pincode
528,cb71f5b5-0944-4cb2-9532-a1da8afbca93,Continental Hospitals,True,,hospital,hospital,unchanged,private,private,unchanged,500032,500032,ambiguous_district,ambiguous_reference_mapping
546,e0b3c833-62ed-46b9-aa05-115b9c9fb400,Bhaskar General Hospital,True,,hospital,hospital,unchanged,private,private,unchanged,75,,,invalid_pincode
548,e2533fff-8e6a-40a6-a133-05c1c9d0ec93,Kauvery Hospital,True,,hospital,hospital,unchanged,public,public,unchanged,600 004,,,invalid_pincode
554,e728f9a4-7c7c-49cd-9d70-b6909e29bed9,Royal Hospital,True,,hospital,hospital,unchanged,private,private,unchanged,600401,600401,,unresolved
564,ec6deb63-ad66-42e5-9af9-d9553c93f028,AIG Hospitals,True,,hospital,hospital,unchanged,private,private,unchanged,500032,500032,ambiguous_district,ambiguous_reference_mapping
566,f0030508-bd9b-481b-99ea-4ae9213904e4,Coimbatore Kidney Centre,True,,hospital,hospital,unchanged,private,private,unchanged,641 045,,,invalid_pincode
571,f221e6d3-436f-4a0b-8f8f-fbd519b2209f,"Sri Shankara Cancer Hospital and Research Centre, Bengaluru",True,,hospital,hospital,unchanged,private,private,unchanged,560 004,,,invalid_pincode
572,f2532d6f-3472-4f94-b3f4-da8e48943365,Government General Hospital Gulbarga,True,,hospital,hospital,unchanged,public,public,unchanged,583212,583212,district_mode_selected,ambiguous_reference_mapping
588,fecd201c-2f67-40bb-8956-ca4f423a0ad2,PSP Medical College Hospital and Research Institute,True,,hospital,hospital,unchanged,private,private,unchanged,631 604,,,invalid_pincode
597,09c73691-739e-4b31-88ba-2d31c89f7af3,"Narmada Apna Hospital, Hoshangabad",True,,hospital,hospital,unchanged,private,private,unchanged,461001,461001,district_mode_selected,ambiguous_reference_mapping
633,219af84f-8839-4a61-a7c0-708ec420c904,"SSB Heart And Multispeciality Hospital, Sector 20 A",True,,hospital,hospital,unchanged,private,private,unchanged,121 002,,,invalid_pincode
644,2ddc7b9f-65ac-40d1-a1a0-6b649ff9d7b2,Moolchand Hospital,True,,hospital,hospital,unchanged,private,private,unchanged,110024,110024,district_mode_selected,ambiguous_reference_mapping
658,329312ce-72f9-445e-82dd-ca537bec7225,Bansal Hospital,True,,hospital,hospital,unchanged,private,private,unchanged,110065,110065,district_mode_selected,ambiguous_reference_mapping
659,32f97788-fe6d-4a3a-8129-f8e9a3e87ef0,ESI SD Kamarhati,True,,clinic,clinic,unchanged,public,public,unchanged,58,,,invalid_pincode
671,3ba2d4c3-6651-4009-9c81-293583383f92,Karnataka Medical College and Research Institute Hubballi,True,,hospital,hospital,unchanged,public,public,unchanged,580022,580022,,unresolved
677,410f62b6-dc16-4c8f-a939-25ca8215d5b6,Solan Homoeopathic Medical College & Hospital,True,,hospital,hospital,unchanged,private,private,unchanged,173229,173229,district_mode_selected,ambiguous_reference_mapping
716,5f80001e-76d8-4b42-acd7-a9222098261f,Seth Nandlal Dhoot Hospital,True,,hospital,hospital,unchanged,private,private,unchanged,431210,431210,,unresolved
717,5fe4b03b-9b0b-4c21-8004-04fdd08ed3c9,Sun Eye Hospital & Laser Centre,True,,hospital,hospital,unchanged,private,private,unchanged,227107,227107,,unresolved
718,60477c08-33c4-4b95-b38f-545ddd23cdfb,Bhagwan Mahaveer Jain Hospital,True,,hospital,hospital,unchanged,private,private,unchanged,5600,,,invalid_pincode
722,648cb3ca-8fa8-479c-ae81-70c03b8d53d9,Bapu Nature Cure Hospital & Yogashram,True,,hospital,hospital,unchanged,private,private,unchanged,110 091,,,invalid_pincode
729,69fa2dc3-3a83-4f25-9c67-3cf65e4314ce,Shivam Hospital,True,,hospital,hospital,unchanged,private,private,unchanged,421021,421021,,unresolved
739,7330d09f-44c7-4c9b-ad66-df64173537aa,Mahatma Gandhi Medical College and Research Institute,True,,hospital,hospital,unchanged,private,private,unchanged,607403,607403,ambiguous_state,ambiguous_reference_mapping
748,793e9872-b754-43cc-a135-25aa77b6e8c9,Primary Health Center Tada,True,,clinic,clinic,unchanged,public,public,unchanged,473885,473885,district_mode_selected,ambiguous_reference_mapping
751,7c385d20-6a63-417b-a336-154bd22a60e7,Jaipur Hospital,True,,hospital,hospital,unchanged,private,private,unchanged,000000,000000,,unresolved
754,7e420f3f-0cc7-4b8e-811d-7cb54fe1505b,Sharda Hospital,True,,hospital,hospital,unchanged,private,private,unchanged,270001,270001,,unresolved
759,8300546e-4a13-4410-987c-d1da107d8ba0,Meeran Hospital,True,,hospital,hospital,unchanged,private,private,unchanged,627 811,,,invalid_pincode
763,84f06705-ee19-4ee1-a974-4bc46a797271,Sewa Hospital & Research Centre,True,,hospital,hospital,unchanged,private,private,unchanged,227208,227208,,unresolved
765,865e556a-85b8-451c-82bf-5cc1ccbe33d5,Krishna Super Speciality Hospital (A Unit Of Gita Healthcare),True,,hospital,hospital,unchanged,private,private,unchanged,208001,208001,district_mode_selected,ambiguous_reference_mapping
766,86b438c1-1087-49b1-a1b3-8560344c7fb8,Lakshmi Nursing Home,True,,hospital,hospital,unchanged,private,private,unchanged,560087,560087,district_mode_selected,ambiguous_reference_mapping
775,8abfc41a-0240-4579-9aa3-7e2203109d28,Mahajan Hospital,True,,hospital,hospital,unchanged,private,private,unchanged,143531,143531,district_mode_selected,ambiguous_reference_mapping
778,8c16fabd-c494-45ff-a87c-5c80fc2fafcd,Saveetha Dental College and Hospital,True,,hospital,hospital,unchanged,private,private,unchanged,600077,600077,district_mode_selected,ambiguous_reference_mapping
806,a18c8034-b7bc-48c7-81e3-a2a2078282cb,Jeewan Memorial Hospital,True,,hospital,hospital,unchanged,private,private,unchanged,492007,492007,,unresolved
819,aa6d8ce2-cdd1-4f0f-b1ac-1a68cd1deb10,Harshitha Hospital,True,,hospital,hospital,unchanged,private,private,unchanged,517501,517501,district_mode_selected,ambiguous_reference_mapping
853,c5bd42a9-24ae-45d3-97e9-21b2fe0a0486,Vijaya Eye Hospital,True,,hospital,hospital,unchanged,private,private,unchanged,516430,516430,,unresolved
858,c80fa40f-0eca-47ab-9941-600ca339b29c,"Sri Sai Ayurvedic Medical College and Hospital, Aligarh, Uttar Pradesh",True,,hospital,hospital,unchanged,private,private,unchanged,202 001,,,invalid_pincode
873,d3855d2d-423c-45ea-948f-2a94d65f6bc8,A. G Padmavatis Hospital,True,,hospital,hospital,unchanged,private,private,unchanged,605110,605110,ambiguous_state,ambiguous_reference_mapping
889,e0a0c7f8-b375-4fbe-997a-65ede0a721d1,VHM Hospitals,True,,hospital,hospital,unchanged,private,private,unchanged,600 093,,,invalid_pincode
906,eb682cd1-f3d7-4138-9186-b8613c32a53e,District Hospital Samba,True,,hospital,hospital,unchanged,public,public,unchanged,184121,184121,district_mode_selected,ambiguous_reference_mapping
907,ebff3b90-52c1-463f-b8cd-d6bb206a3d00,"Institute of Mental Health and Hospital, Agra",True,,hospital,hospital,unchanged,public,public,unchanged,282 002,,,invalid_pincode
923,001f21d5-3cb9-4ae5-b05c-46bc85fed8c3,Kirloskar Hospital,True,,hospital,hospital,unchanged,private,private,unchanged,500063,500063,,unresolved
925,00fd1dbd-dc4d-47ea-9ffa-68ddf7e5d13f,Bankers Heart Institute,True,,hospital,hospital,unchanged,private,private,unchanged,390015,390015,,unresolved
936,08ff6beb-cd5f-457f-8149-d396724ee4bb,"Pondicherry Institute of Medical Sciences, Puducherry",True,,hospital,hospital,unchanged,private,private,unchanged,605014,605014,ambiguous_state,ambiguous_reference_mapping
949,10601a52-61e4-4e30-81b6-c9c60d2cf466,Shekhar Hospital,True,,hospital,hospital,unchanged,private,private,unchanged,560019,560019,,unresolved
988,2579a260-5d5f-4a9d-a70b-113f17749c7c,"Sri Sathya Sai General Hospital, Prasanthi Nilayam",True,,hospital,hospital,unchanged,private,private,unchanged,515134,515134,district_mode_selected,ambiguous_reference_mapping
1004,2dc0c78a-d732-4c9b-af06-28a3304a8363,"Sree Chitra Tirunal Institute for Medical Sciences and Technology, Trivandrum",True,,hospital,hospital,unchanged,government,public,mapped_synonym,695011,695011,exact,exact_reference_mapping
1015,32247c86-c4d1-48e3-90fd-422207fb1ff9,Vinodhagan Memorial Hospital,True,,hospital,hospital,unchanged,private,private,unchanged,613 007,,,invalid_pincode
1018,333d6b82-17a2-4434-b50a-f35f75e9cab2,Triton Hospital,True,,hospital,hospital,unchanged,private,private,unchanged,110019,110019,district_mode_selected,ambiguous_reference_mapping
1029,3ad12409-c708-4acf-badd-4e25d6f2f1d5,R.V.M Institute of Medical Sciences and Research Centre,True,,hospital,hospital,unchanged,private,private,unchanged,500016,500016,ambiguous_district,ambiguous_reference_mapping
1046,4299c5f2-f57b-4a34-8013-ecd286de0116,Dr KG Deshpande Memorial Centre,True,,hospital,hospital,unchanged,private,private,unchanged,440 010,,,invalid_pincode
1055,450c3dd0-ac6b-481a-a80b-37cde92b0e2c,Shah Accident Hospital,True,,hospital,hospital,unchanged,private,private,unchanged,411 006,,,invalid_pincode
1060,4918bfa2-baa3-44a5-8fcd-f6137fe5e639,TSC Hospital,True,,hospital,hospital,unchanged,private,private,unchanged,695 583,,,invalid_pincode
1066,4c536d13-417c-4b80-a3dd-5995db8f9aad,Sree Saran Medical Center,True,,hospital,hospital,unchanged,private,private,unchanged,641-602,,,invalid_pincode
1077,53d08e4b-4dc9-4781-9b85-d4e3464aef9a,Kailash Hospital,True,,hospital,hospital,unchanged,private,private,unchanged,208001,208001,district_mode_selected,ambiguous_reference_mapping
1097,6138c044-6fdd-42e1-a1c9-a95e3c691a95,Sir Ivan Stedeford Hospital,True,,hospital,hospital,unchanged,private,private,unchanged,600053,600053,district_mode_selected,ambiguous_reference_mapping
1099,61731339-a1d6-4384-92ee-fce2d11b3338,Sub Divisional Hospital Pusa,True,,hospital,hospital,unchanged,public,public,unchanged,848125,848125,district_mode_selected,ambiguous_reference_mapping
1102,6321c614-d7bc-424c-b204-9fc1e89f7261,Chacha Nehru Bal Chikitsalya,True,,hospital,hospital,unchanged,public,public,unchanged,110031,110031,district_mode_selected,ambiguous_reference_mapping
1139,77ac3849-daa9-4618-9094-e1d8e92dab5b,Sunrise Hospital,True,,hospital,hospital,unchanged,private,private,unchanged,682 030,,,invalid_pincode
1170,86df2052-1648-4700-b662-42336f7c73d9,Himagiri Hospitals,True,,hospital,hospital,unchanged,private,private,unchanged,500032,500032,ambiguous_district,ambiguous_reference_mapping
1181,8c1d0441-6e4d-461f-8e65-8f3dad6d9e2d,Ashoka Nursing Home & Multispeciality Hospital,True,,hospital,hospital,unchanged,private,private,unchanged,110051,110051,ambiguous_district,ambiguous_reference_mapping
1188,9264b21d-4aea-460a-9c77-613407df8439,Trustwell Hospitals,True,duplicate_unique_id,hospital,hospital,unchanged,private,private,unchanged,560002,560002,exact,exact_reference_mapping
1189,9264b21d-4aea-460a-9c77-613407df8439,Trustwell Hospitals,False,duplicate_unique_id,hospital,hospital,unchanged,private,private,unchanged,560002,560002,exact,exact_reference_mapping
1193,94f59958-9624-44b1-8f9e-69e5b5f915fa,Sachin Hospital,True,,hospital,hospital,unchanged,public,public,unchanged,121102,121102,district_mode_selected,ambiguous_reference_mapping
1198,99f9bfec-53d5-4bae-b87a-80217d929a7c,Shravan Hospital And Kidney Institute,True,,hospital,hospital,unchanged,private,private,unchanged,440009,440009,,unresolved
1200,9ae5d1cf-708b-4635-ac45-1896c25e1eae,Image Hospitals,True,,hospital,hospital,unchanged,private,private,unchanged,500016,500016,ambiguous_district,ambiguous_reference_mapping
1201,9b47971c-d5de-486d-bc06-0ba51e8c6f7b,Om Dental Clinic,True,,dentist,dentist,unchanged,private,private,unchanged,380043,380043,,unresolved
1212,a17000d9-af46-448c-98bb-c501155bfb40,Aditya Hospital,True,,hospital,hospital,unchanged,private,private,unchanged,484001,484001,district_mode_selected,ambiguous_reference_mapping
1220,a86fecfe-d81f-4f00-86ea-843166b1f212,Sevak Nursing Home,True,,hospital,hospital,unchanged,private,private,unchanged,759104,759104,,unresolved
1224,a96c189f-783b-4d8c-95cf-abbc2e5cc8a6,Sher-I-Kashmir Institute of Medical Sciences,True,,hospital,hospital,unchanged,public,public,unchanged,190 011,,,invalid_pincode
1230,ac324809-c674-4a5b-8d90-9bc976684df5,Pratham Hospital,True,,hospital,hospital,unchanged,private,private,unchanged,382421,382421,district_mode_selected,ambiguous_reference_mapping
1248,b36f3f71-0b8a-4d7f-8b10-12eb7f5bcf60,Yadgire Super Specialty Hospital,True,duplicate_unique_id,hospital,hospital,unchanged,public,public,unchanged,444606,444606,exact,exact_reference_mapping
1249,b36f3f71-0b8a-4d7f-8b10-12eb7f5bcf60,Yadgire Super Specialty Hospital,False,duplicate_unique_id,hospital,hospital,unchanged,public,public,unchanged,444606,444606,exact,exact_reference_mapping
1253,b4d1ed99-b81a-4ce0-9df6-18c5079f77e0,Sims Hospital Chennai,True,,hospital,hospital,unchanged,private,private,unchanged,600089,600089,ambiguous_district,ambiguous_reference_mapping
1255,b5484853-fa77-4030-9a43-1bf349a13ffb,PRS Hospital,True,,hospital,hospital,unchanged,private,private,unchanged,695 002,,,invalid_pincode
1258,b897a3d8-77f3-4a40-b4ad-2c71af6eec5a,Smile Dental Hub,True,,clinic,clinic,unchanged,private,private,unchanged,110003,110003,district_mode_selected,ambiguous_reference_mapping
1274,c0a0485f-f024-4a20-9d6d-dabda3337d99,Renai Medicity,True,,hospital,hospital,unchanged,private,private,unchanged,682 025,,,invalid_pincode
1305,cfe73791-e3a2-44f3-889b-78b852b770b0,Maharshi Atreya Health Centre,True,,hospital,hospital,unchanged,private,private,unchanged,391 330,,,invalid_pincode
1320,d6070c03-9238-4f2d-9d57-588ce3e3e804,Sree Lakshmi Narayana Institute of Medical Sciences and Hospital,True,,hospital,hospital,unchanged,public,public,unchanged,605502,605502,ambiguous_state,ambiguous_reference_mapping
1332,d9eb40e5-3a07-4a48-8870-611b239066a9,Avanti Institute of Cardiology Pvt Ltd,True,,hospital,hospital,unchanged,private,private,unchanged,440 012,,,invalid_pincode
1333,da383bf3-2c2b-4922-bc0c-46f135c98055,All India Institute of Physical Medicine and Rehabilitation,True,,hospital,hospital,unchanged,public,public,unchanged,400 016,,,invalid_pincode
1335,dc97c031-cec5-48eb-a1c1-d4de6520eb63,Capitol Hospital,True,,hospital,hospital,unchanged,private,private,unchanged,144012,144012,,unresolved
1350,e3012127-8540-4e3c-9823-7e30ea3f6df0,Sushruta Clinic,True,,clinic,clinic,unchanged,private,private,unchanged,85,,,invalid_pincode
1362,e995916e-4dfa-431a-8998-9904d5322e1e,Randeep Hospital,True,,hospital,hospital,unchanged,private,private,unchanged,151302,151302,district_mode_selected,ambiguous_reference_mapping
1366,ed1ce467-ec12-42cf-b6e3-92859add7127,"General Hospital, Thalassery",True,,hospital,hospital,unchanged,public,public,unchanged,686513,686513,district_mode_selected,ambiguous_reference_mapping
1370,eea7afca-1e40-4aa0-b811-50e38723617a,Homeocare International,True,,clinic,clinic,unchanged,private,private,unchanged,600029,600029,,unresolved
1393,fb5f7207-f45f-46c7-b0b0-c298500760a8,Max Lab,True,,clinic,clinic,unchanged,private,private,unchanged,110020,110020,district_mode_selected,ambiguous_reference_mapping
1394,fbaf7beb-e307-424c-a426-24a55bd6a726,"KIMS - Sunshine Hospitals, Begumpet",True,,hospital,hospital,unchanged,private,private,unchanged,500032,500032,ambiguous_district,ambiguous_reference_mapping
1400,ff59d169-2912-4a9c-a1e4-3d5fe741f467,Dhanush Hospital,True,,hospital,hospital,unchanged,private,private,unchanged,563125,563125,district_mode_selected,ambiguous_reference_mapping
1426,06bdf654-fc15-49eb-89c5-e3c14010ebe1,Rela Hospital,True,,hospital,hospital,unchanged,private,private,unchanged,603204,603204,district_mode_selected,ambiguous_reference_mapping
1435,0bd9ec80-6ddb-4643-957b-b444a1dfe778,Annai Velankanni Multispecialty Hospital,True,,hospital,hospital,unchanged,private,private,unchanged,627851,627851,district_mode_selected,ambiguous_reference_mapping
1438,0c1c7bad-3b9d-4f67-b281-a282a10f7ffc,Shri Ganesh Eye Hospital,True,,hospital,hospital,unchanged,private,private,unchanged,843001,843001,,unresolved
1446,0ef56260-120c-4a08-af85-505e8eb38718,Sankaralingam Hospital,True,,hospital,hospital,unchanged,private,private,unchanged,629 001,,,invalid_pincode
1448,0f8375e1-a47c-4959-94c5-313e0e2512a1,City Hospital,True,,hospital,hospital,unchanged,private,private,unchanged,496118,496118,district_mode_selected,ambiguous_reference_mapping
1452,11ea4ba1-5edb-4f63-9cd0-146153845448,Avantika Hospital,True,,hospital,hospital,unchanged,private,private,unchanged,203001,203001,district_mode_selected,ambiguous_reference_mapping
1479,1ad78272-a5ed-4401-b65f-746d7b7aabfe,Sudha Hospitals - Salem,True,,hospital,hospital,unchanged,private,private,unchanged,636 004,,,invalid_pincode
1482,1ca2e7e4-2bb1-4dde-84f8-a711db67833d,Sam's Dental Lounge,True,,dentist,dentist,unchanged,private,private,unchanged,641 012,,,invalid_pincode
1485,1cfd5fea-0e52-42a3-b4e7-645317b0adc8,Sacred Heart Palliative Care Center (Hospice),True,,hospital,hospital,unchanged,private,private,unchanged,23,,,invalid_pincode
1490,1f56d05d-c126-435a-b0d3-bd3494195f32,Fathima Hospital,True,,hospital,hospital,unchanged,private,private,unchanged,695086,695086,,unresolved
1534,2ffa0638-ea61-4e7c-98f3-4d7b24f8d0bd,Apex Hospital,True,,hospital,hospital,unchanged,private,private,unchanged,121102,121102,district_mode_selected,ambiguous_reference_mapping
1542,33a75ed9-18ea-4fc6-b2fa-039491bfa421,Anandaloke Multi Speciality Hospital,True,,hospital,hospital,unchanged,private,private,unchanged,734001,734001,district_mode_selected,ambiguous_reference_mapping
1553,37c2aa84-5601-49e3-ac01-31dfea0a4aa0,Naja Hospital And Research Centre,True,,hospital,hospital,unchanged,private,private,unchanged,000000,000000,,unresolved
1554,38eeca5f-5bc1-4658-8b24-686e4295ed82,Liberty Hospitals,True,,hospital,hospital,unchanged,,,missing,520007,520007,district_mode_selected,ambiguous_reference_mapping
1557,39c27df7-5e07-4626-8115-e7676e114de1,Kinder Women’s Hospital and Fertility Centre,True,,clinic,clinic,unchanged,private,private,unchanged,688 539,,,invalid_pincode
1560,3b9b6b5d-7d87-4bf2-8b64-7e4c2c5d52be,Aditya Diagnostics & Hospitals,True,,hospital,hospital,unchanged,private,private,unchanged,786005,786005,,unresolved
1563,3d5fec3f-5c58-45ad-bc65-1b303fdf9cb5,Dheer Dental Clinic,True,,clinic,clinic,unchanged,private,private,unchanged,160044,160044,,unresolved
