pincode,post_office_count,district_candidate_count,state_candidate_count,district_candidates,state_candidates,preferred_district,preferred_state,resolution_status,is_safe_for_direct_join,valid_coordinate_pair_count,invalid_coordinate_pair_count,incomplete_coordinate_pair_count,likely_swapped_coordinate_count,mean_valid_latitude,mean_valid_longitude
110043,19,1,1,WEST,DELHI,WEST,DELHI,exact,True,17,1,1,0,28.567903,77.469799
110044,9,2,1,SOUTH|SOUTH EAST,DELHI,SOUTH,DELHI,district_mode_selected,False,9,0,0,0,28.513363,77.27007
110045,4,1,1,SOUTH WEST,DELHI,SOUTH WEST,DELHI,exact,True,4,0,0,0,25.802918,77.438678
110046,2,1,1,NEW DELHI,DELHI,NEW DELHI,DELHI,exact,True,2,0,0,0,28.611056,77.105861
110047,4,1,1,SOUTH,DELHI,SOUTH,DELHI,exact,True,4,0,0,0,28.463704,77.135418
110048,3,2,1,SOUTH|SOUTH EAST,DELHI,SOUTH EAST,DELHI,district_mode_selected,False,3,0,0,0,28.541769,77.23887
110049,6,2,1,SOUTH|SOUTH EAST,DELHI,SOUTH EAST,DELHI,district_mode_selected,False,6,0,0,0,28.5595,77.217911
110051,4,2,1,EAST|SHAHDARA,DELHI,,DELHI,ambiguous_district,False,4,0,0,0,28.660649,77.291332
110052,4,2,1,NORTH|NORTH WEST,DELHI,NORTH,DELHI,district_mode_selected,False,4,0,0,0,28.684708,77.176736
110053,8,1,1,NORTH EAST,DELHI,NORTH EAST,DELHI,exact,True,8,0,0,0,28.651913,77.254434
110054,5,1,1,CENTRAL,DELHI,CENTRAL,DELHI,exact,True,5,0,0,0,28.687275,77.224215
110055,5,2,1,CENTRAL|WEST,DELHI,CENTRAL,DELHI,district_mode_selected,False,5,0,0,0,28.63791,77.199383
110056,1,1,1,NORTH WEST,DELHI,NORTH WEST,DELHI,exact,True,1,0,0,0,28.682722,77.111111
110057,2,1,1,NEW DELHI,DELHI,NEW DELHI,DELHI,exact,True,2,0,0,0,28.562944,77.157583
110058,5,1,1,WEST,DELHI,WEST,DELHI,exact,True,5,0,0,0,28.624776,77.088656
110059,7,1,1,WEST,DELHI,WEST,DELHI,exact,True,6,0,1,0,28.624029,77.188835
110060,1,1,1,CENTRAL,DELHI,CENTRAL,DELHI,exact,True,1,0,0,0,28.636722,77.183111
110061,2,2,1,NEW DELHI|SOUTH WEST,DELHI,,DELHI,ambiguous_district,False,2,0,0,0,28.536425,77.05081
110062,6,1,1,SOUTH,DELHI,SOUTH,DELHI,exact,True,6,0,0,0,28.518088,77.238588
110063,5,1,1,WEST,DELHI,WEST,DELHI,exact,True,5,0,0,0,28.668559,77.111121
110064,5,1,1,WEST,DELHI,WEST,DELHI,exact,True,5,0,0,0,28.624723,75.915985
110065,5,2,1,SOUTH|SOUTH EAST,DELHI,SOUTH EAST,DELHI,district_mode_selected,False,5,0,0,0,28.561026,77.252198
110066,2,1,1,NEW DELHI,DELHI,NEW DELHI,DELHI,exact,True,2,0,0,0,28.566221,77.182494
110067,3,1,1,NEW DELHI,DELHI,NEW DELHI,DELHI,exact,True,3,0,0,0,28.548398,77.173
110068,2,1,1,SOUTH,DELHI,SOUTH,DELHI,exact,True,2,0,0,0,28.501222,77.200306
110069,1,1,1,NEW DELHI,DELHI,NEW DELHI,DELHI,exact,True,1,0,0,0,28.622583,77.212722
110070,3,1,1,NEW DELHI,DELHI,NEW DELHI,DELHI,exact,True,3,0,0,0,28.522711,77.156062
110071,4,1,1,SOUTH WEST,DELHI,SOUTH WEST,DELHI,exact,True,4,0,0,0,28.552972,77.151563
110072,2,1,1,SOUTH WEST,DELHI,SOUTH WEST,DELHI,exact,True,2,0,0,0,28.644252,77.458519
110073,11,1,1,SOUTH WEST,DELHI,SOUTH WEST,DELHI,exact,True,11,0,0,0,27.099875,80.681096
110074,8,1,1,SOUTH,DELHI,SOUTH,DELHI,exact,True,7,0,1,0,28.497719,77.187367
110075,4,1,1,SOUTH WEST,DELHI,SOUTH WEST,DELHI,exact,True,4,0,0,0,28.593161,77.047967
110076,3,1,1,SOUTH,DELHI,SOUTH,DELHI,exact,True,3,0,0,0,28.528278,77.300389
110077,5,2,1,NEW DELHI|SOUTH WEST,DELHI,SOUTH WEST,DELHI,district_mode_selected,False,5,0,0,0,28.568251,77.062894
110078,3,1,1,SOUTH WEST,DELHI,SOUTH WEST,DELHI,exact,True,3,0,0,0,28.613895,77.065442
110080,6,1,1,SOUTH,DELHI,SOUTH,DELHI,exact,True,6,0,0,0,28.50657,77.240398
110081,11,1,1,NORTH WEST,DELHI,NORTH WEST,DELHI,exact,True,11,0,0,0,28.734917,77.005556
110082,4,1,1,NORTH,DELHI,NORTH,DELHI,exact,True,4,0,0,0,28.772167,77.119
110083,4,1,1,NORTH WEST,DELHI,NORTH WEST,DELHI,exact,True,4,0,0,0,28.698194,77.088431
110084,6,2,1,CENTRAL|NORTH,DELHI,CENTRAL,DELHI,district_mode_selected,False,6,0,0,0,28.753381,77.19837
110085,8,1,1,NORTH WEST,DELHI,NORTH WEST,DELHI,exact,True,8,0,0,0,28.712419,77.133019
110086,8,1,1,NORTH WEST,DELHI,NORTH WEST,DELHI,exact,True,8,0,0,0,28.699049,77.075996
110087,3,1,1,WEST,DELHI,WEST,DELHI,exact,True,3,0,0,0,28.675387,77.086535
110088,3,1,1,NORTH,DELHI,NORTH,DELHI,exact,True,3,0,0,0,28.703796,77.163241
110089,1,1,1,NORTH WEST,DELHI,NORTH WEST,DELHI,exact,True,1,0,0,0,28.734806,77.1325
110090,6,1,1,NORTH EAST,DELHI,NORTH EAST,DELHI,exact,True,5,0,1,0,28.702128,77.289722
110091,7,1,1,EAST,DELHI,EAST,DELHI,exact,True,7,0,0,0,28.610152,77.302245
110092,9,2,1,EAST|SHAHDARA,DELHI,EAST,DELHI,district_mode_selected,False,9,0,0,0,28.657012,77.290799
110093,4,1,1,NORTH EAST,DELHI,NORTH EAST,DELHI,exact,True,4,0,0,0,28.697935,77.307051
110094,3,1,1,NORTH EAST,DELHI,NORTH EAST,DELHI,exact,True,3,0,0,0,28.696148,77.29725
110095,8,1,1,SHAHDARA,DELHI,SHAHDARA,DELHI,exact,True,8,0,0,0,28.680318,77.317744
110096,4,1,1,EAST,DELHI,EAST,DELHI,exact,True,4,0,0,0,28.611331,77.323716
110097,1,1,1,SOUTH WEST,DELHI,SOUTH WEST,DELHI,exact,True,1,0,0,0,28.528884,77.086554
110099,1,1,1,NORTH WEST,DELHI,NORTH WEST,DELHI,exact,True,1,0,0,0,28.720596,77.080909
110102,1,1,1,NEW DELHI,DELHI,NEW DELHI,DELHI,exact,True,1,0,0,0,28.631428,77.205714
110106,1,1,1,NORTH,DELHI,NORTH,DELHI,exact,True,1,0,0,0,28.662289,77.235553
110110,1,1,1,NORTH WEST,DELHI,NORTH WEST,DELHI,exact,True,1,0,0,0,28.71575,77.11
110119,1,1,1,SOUTH EAST,DELHI,SOUTH EAST,DELHI,exact,True,1,0,0,0,28.542802,77.257506
110124,1,1,1,SOUTH,DELHI,SOUTH,DELHI,exact,True,1,0,0,0,28.567906,77.241397
110151,1,1,1,SHAHDARA,DELHI,SHAHDARA,DELHI,exact,True,1,0,0,0,28.645733,77.299774
110195,1,1,1,SHAHDARA,DELHI,SHAHDARA,DELHI,exact,True,1,0,0,0,28.673961,77.319696
121001,8,1,1,FARIDABAD,HARYANA,FARIDABAD,HARYANA,exact,True,8,0,0,0,28.33233,77.45534
121002,6,1,1,FARIDABAD,HARYANA,FARIDABAD,HARYANA,exact,True,6,0,0,0,28.455964,77.328433
121003,5,1,1,FARIDABAD,HARYANA,FARIDABAD,HARYANA,exact,True,5,0,0,0,28.425841,77.313625
121004,23,2,1,FARIDABAD|PALWAL,HARYANA,FARIDABAD,HARYANA,district_mode_selected,False,22,0,1,0,27.972583,77.872341
121005,2,1,1,FARIDABAD,HARYANA,FARIDABAD,HARYANA,exact,True,2,0,0,0,28.380694,77.294389
121006,4,1,1,FARIDABAD,HARYANA,FARIDABAD,HARYANA,exact,True,4,0,0,0,28.371881,77.320843
121007,3,1,1,FARIDABAD,HARYANA,FARIDABAD,HARYANA,exact,True,3,0,0,0,28.38732,77.322357
121008,1,1,1,FARIDABAD,HARYANA,FARIDABAD,HARYANA,exact,True,1,0,0,0,28.391778,77.302139
121009,1,1,1,FARIDABAD,HARYANA,FARIDABAD,HARYANA,exact,True,1,0,0,0,28.488111,77.294583
121010,2,1,1,FARIDABAD,HARYANA,FARIDABAD,HARYANA,exact,True,2,0,0,0,28.510619,77.639964
121012,1,1,1,FARIDABAD,HARYANA,FARIDABAD,HARYANA,exact,True,1,0,0,0,28.391778,77.302139
121013,1,1,1,FARIDABAD,HARYANA,FARIDABAD,HARYANA,exact,True,1,0,0,0,28.391778,77.302139
121014,1,1,1,FARIDABAD,HARYANA,FARIDABAD,HARYANA,exact,True,1,0,0,0,28.4726,77.4848
121015,1,1,1,FARIDABAD,HARYANA,FARIDABAD,HARYANA,exact,True,1,0,0,0,28.3453,77.2965
121101,9,1,1,FARIDABAD,HARYANA,FARIDABAD,HARYANA,exact,True,9,0,0,0,27.120631,81.514458
121102,25,2,1,FARIDABAD|PALWAL,HARYANA,PALWAL,HARYANA,district_mode_selected,False,24,1,0,0,26.990217,77.48342
121103,12,1,1,PALWAL,HARYANA,PALWAL,HARYANA,exact,True,11,1,0,0,29.067792,78.475406
121105,10,1,1,PALWAL,HARYANA,PALWAL,HARYANA,exact,True,9,1,0,0,28.02213,77.11061
121106,9,1,1,PALWAL,HARYANA,PALWAL,HARYANA,exact,True,9,0,0,0,28.536543,76.899125
121107,7,1,1,PALWAL,HARYANA,PALWAL,HARYANA,exact,True,7,0,0,0,27.412368,76.83257
121999,1,0,0,,,,,missing_geo,False,1,0,0,0,28.391778,77.302139
122001,12,1,1,GURUGRAM,HARYANA,GURUGRAM,HARYANA,exact,True,12,0,0,0,28.45987,77.024981
122002,1,1,1,GURUGRAM,HARYANA,GURUGRAM,HARYANA,exact,True,1,0,0,0,28.466093,77.105835
122003,4,1,1,GURUGRAM,HARYANA,GURUGRAM,HARYANA,exact,True,4,0,0,0,28.450376,77.063122
122004,7,1,1,GURUGRAM,HARYANA,GURUGRAM,HARYANA,exact,True,7,0,0,0,28.417703,76.996457
122005,1,1,1,GURUGRAM,HARYANA,GURUGRAM,HARYANA,exact,True,1,0,0,0,28.505611,77.071056
122006,5,1,1,GURUGRAM,HARYANA,GURUGRAM,HARYANA,exact,True,5,0,0,0,28.474417,77.028464
122007,1,1,1,GURUGRAM,HARYANA,GURUGRAM,HARYANA,exact,True,1,0,0,0,28.462,77.031639
122008,1,1,1,GURUGRAM,HARYANA,GURUGRAM,HARYANA,exact,True,1,0,0,0,28.462,77.031639
122009,1,1,1,GURUGRAM,HARYANA,GURUGRAM,HARYANA,exact,True,1,0,0,0,28.340889,76.756194
122010,1,1,1,GURUGRAM,HARYANA,GURUGRAM,HARYANA,exact,True,1,0,0,0,28.466093,77.105835
122011,1,1,1,GURUGRAM,HARYANA,GURUGRAM,HARYANA,exact,True,1,0,0,0,28.462,77.031639
122012,1,1,1,GURUGRAM,HARYANA,GURUGRAM,HARYANA,exact,True,1,0,0,0,28.413887,76.993194
122015,1,1,1,GURUGRAM,HARYANA,GURUGRAM,HARYANA,exact,True,1,0,0,0,28.497361,77.063056
122016,1,1,1,GURUGRAM,HARYANA,GURUGRAM,HARYANA,exact,True,1,0,0,0,28.496583,77.085278
122017,1,1,1,GURUGRAM,HARYANA,GURUGRAM,HARYANA,exact,True,1,0,0,0,28.462,77.031639
122018,2,1,1,GURUGRAM,HARYANA,GURUGRAM,HARYANA,exact,True,1,1,0,0,28.462,77.031639
122051,2,1,1,GURUGRAM,HARYANA,GURUGRAM,HARYANA,exact,True,2,0,0,0,28.343123,76.940183
122052,1,1,1,GURUGRAM,HARYANA,GURUGRAM,HARYANA,exact,True,1,0,0,0,28.342,76.936472
122098,1,1,1,GURUGRAM,HARYANA,GURUGRAM,HARYANA,exact,True,1,0,0,0,28.391382,77.051193
122101,5,1,1,GURUGRAM,HARYANA,GURUGRAM,HARYANA,exact,True,5,0,0,0,28.391672,77.051938
122102,7,1,1,GURUGRAM,HARYANA,GURUGRAM,HARYANA,exact,True,7,0,0,0,28.347121,77.064335
122103,12,2,1,GURUGRAM|NUH,HARYANA,GURUGRAM,HARYANA,district_mode_selected,False,12,0,0,0,28.261108,77.065946
122104,6,1,1,NUH,HARYANA,NUH,HARYANA,exact,True,1,0,5,0,27.778194,76.945194
122105,12,1,1,NUH,HARYANA,NUH,HARYANA,exact,True,1,0,11,0,28.330889,76.783583
122107,10,1,1,NUH,HARYANA,NUH,HARYANA,exact,True,1,0,9,0,28.102056,76.004472
122108,7,1,1,NUH,HARYANA,NUH,HARYANA,exact,True,1,0,6,0,27.9204,76.984468
122413,7,1,1,GURUGRAM,HARYANA,GURUGRAM,HARYANA,exact,True,7,0,0,0,29.387631,77.446429
122414,6,1,1,GURUGRAM,HARYANA,GURUGRAM,HARYANA,exact,True,6,0,0,0,28.274486,76.731412
122502,12,2,1,GURUGRAM|REWARI,HARYANA,REWARI,HARYANA,district_mode_selected,False,12,0,0,0,28.291429,76.695731
122503,7,1,1,GURUGRAM,HARYANA,GURUGRAM,HARYANA,exact,True,7,0,0,0,28.326807,76.777235
122504,8,1,1,GURUGRAM,HARYANA,GURUGRAM,HARYANA,exact,True,8,0,0,0,28.450534,77.040562
122505,6,1,1,GURUGRAM,HARYANA,GURUGRAM,HARYANA,exact,True,6,0,0,0,28.424405,76.917789
122506,7,1,1,GURUGRAM,HARYANA,GURUGRAM,HARYANA,exact,True,6,0,1,0,28.450578,76.863465
122508,17,1,1,NUH,HARYANA,NUH,HARYANA,exact,True,1,0,16,0,27.8635,77.203083
122998,1,0,0,,,,,missing_geo,False,1,0,0,0,28.466057,77.105648
122999,1,0,0,,,,,missing_geo,False,1,0,0,0,28.496716,77.08547
123001,28,1,1,MAHENDRAGARH,HARYANA,MAHENDRAGARH,HARYANA,exact,True,27,1,0,0,28.059201,76.150942
123021,16,1,1,MAHENDRAGARH,HARYANA,MAHENDRAGARH,HARYANA,exact,True,16,0,0,0,28.100882,76.253627
123023,13,1,1,MAHENDRAGARH,HARYANA,MAHENDRAGARH,HARYANA,exact,True,13,0,0,0,27.892472,76.110556
123024,11,1,1,MAHENDRAGARH,HARYANA,MAHENDRAGARH,HARYANA,exact,True,11,0,0,0,28.378714,75.964754
123027,17,1,1,MAHENDRAGARH,HARYANA,MAHENDRAGARH,HARYANA,exact,True,17,0,0,0,28.336193,76.30647
123028,6,1,1,MAHENDRAGARH,HARYANA,MAHENDRAGARH,HARYANA,exact,True,6,0,0,0,28.141741,76.127373
123029,19,1,1,MAHENDRAGARH,HARYANA,MAHENDRAGARH,HARYANA,exact,True,19,0,0,0,28.260033,76.140422
123031,1,1,1,MAHENDRAGARH,HARYANA,MAHENDRAGARH,HARYANA,exact,True,1,0,0,0,28.271019,76.149389
123034,9,1,1,MAHENDRAGARH,HARYANA,MAHENDRAGARH,HARYANA,exact,True,9,0,0,0,28.271415,76.220447
123035,5,1,1,REWARI,HARYANA,REWARI,HARYANA,exact,True,1,0,4,0,28.356167,76.62175
123101,7,1,1,REWARI,HARYANA,REWARI,HARYANA,exact,True,1,0,6,0,28.209,76.884111
123102,8,1,1,REWARI,HARYANA,REWARI,HARYANA,exact,True,1,0,7,0,28.150194,76.399278
123103,6,1,1,REWARI,HARYANA,REWARI,HARYANA,exact,True,1,0,5,0,28.172806,76.402
123106,9,1,1,REWARI,HARYANA,REWARI,HARYANA,exact,True,1,0,8,0,28.230667,76.80025
123110,1,1,1,REWARI,HARYANA,REWARI,HARYANA,exact,True,1,0,0,0,28.233556,77.803278
123301,3,1,1,REWARI,HARYANA,REWARI,HARYANA,exact,True,1,0,2,0,28.357194,76.5355
123302,10,1,1,REWARI,HARYANA,REWARI,HARYANA,exact,True,1,0,9,0,28.400222,76.483917
123303,8,1,1,REWARI,HARYANA,REWARI,HARYANA,exact,True,1,0,7,0,28.412056,76.398
123304,9,2,1,MAHENDRAGARH|REWARI,HARYANA,REWARI,HARYANA,district_mode_selected,False,4,0,5,0,28.345224,76.367198
123401,29,1,1,REWARI,HARYANA,REWARI,HARYANA,exact,True,2,0,27,0,28.126417,76.366921
123411,13,1,1,REWARI,HARYANA,REWARI,HARYANA,exact,True,1,0,12,0,28.293861,76.383972
123412,4,1,1,REWARI,HARYANA,REWARI,HARYANA,exact,True,1,0,3,0,28.201722,76.595583
123501,12,1,1,REWARI,HARYANA,REWARI,HARYANA,exact,True,1,0,11,0,28.073389,76.580972
124001,15,1,1,ROHTAK,HARYANA,ROHTAK,HARYANA,exact,True,15,0,0,0,28.770426,76.600925
124010,8,1,1,ROHTAK,HARYANA,ROHTAK,HARYANA,exact,True,8,0,0,0,28.684752,76.612093
124021,9,2,1,JHAJJAR|ROHTAK,HARYANA,ROHTAK,HARYANA,district_mode_selected,False,9,0,0,0,28.527603,76.410575
124022,3,1,1,ROHTAK,HARYANA,ROHTAK,HARYANA,exact,True,3,0,0,0,28.743608,76.641279
124102,6,1,1,JHAJJAR,HARYANA,JHAJJAR,HARYANA,exact,True,6,0,0,0,28.741852,76.881816
124103,22,1,1,JHAJJAR,HARYANA,JHAJJAR,HARYANA,exact,True,22,0,0,0,28.659332,76.638429
124104,10,1,1,JHAJJAR,HARYANA,JHAJJAR,HARYANA,exact,True,10,0,0,0,28.704285,76.657955
124105,11,1,1,JHAJJAR,HARYANA,JHAJJAR,HARYANA,exact,True,11,0,0,0,28.599872,76.820584
124106,11,1,1,JHAJJAR,HARYANA,JHAJJAR,HARYANA,exact,True,11,0,0,0,28.691452,76.480047
124107,5,1,1,JHAJJAR,HARYANA,JHAJJAR,HARYANA,exact,True,5,0,0,0,28.69613,76.785904
124108,8,1,1,JHAJJAR,HARYANA,JHAJJAR,HARYANA,exact,True,8,0,0,0,28.703402,76.529116
124109,12,1,1,JHAJJAR,HARYANA,JHAJJAR,HARYANA,exact,True,12,0,0,0,28.500946,76.570949
124111,5,1,1,ROHTAK,HARYANA,ROHTAK,HARYANA,exact,True,5,0,0,0,28.76585,76.495183
124112,9,1,1,ROHTAK,HARYANA,ROHTAK,HARYANA,exact,True,9,0,0,0,28.752082,76.492013
124113,5,1,1,ROHTAK,HARYANA,ROHTAK,HARYANA,exact,True,5,0,0,0,28.65177,76.627161
124141,1,1,1,JHAJJAR,HARYANA,JHAJJAR,HARYANA,exact,True,1,0,0,0,28.895583,76.592528
124142,5,1,1,JHAJJAR,HARYANA,JHAJJAR,HARYANA,exact,True,5,0,0,0,28.533228,76.385964
124146,8,1,1,JHAJJAR,HARYANA,JHAJJAR,HARYANA,exact,True,8,0,0,0,28.64579,76.702381
124201,7,2,1,JHAJJAR|ROHTAK,HARYANA,JHAJJAR,HARYANA,district_mode_selected,False,7,0,0,0,28.695198,76.551921
124202,4,2,1,JHAJJAR|ROHTAK,HARYANA,JHAJJAR,HARYANA,district_mode_selected,False,4,0,0,0,28.673484,76.597105
124303,9,1,1,ROHTAK,HARYANA,ROHTAK,HARYANA,exact,True,9,0,0,0,28.698341,76.522423
124401,10,1,1,ROHTAK,HARYANA,ROHTAK,HARYANA,exact,True,10,0,0,0,28.654444,76.591614
124404,3,2,1,JHAJJAR|ROHTAK,HARYANA,ROHTAK,HARYANA,district_mode_selected,False,3,0,0,0,28.650385,76.850207
124406,5,1,1,ROHTAK,HARYANA,ROHTAK,HARYANA,exact,True,5,0,0,0,28.714779,76.608791
124411,5,1,1,ROHTAK,HARYANA,ROHTAK,HARYANA,exact,True,5,0,0,0,28.536622,76.374906
124412,6,2,1,JHAJJAR|ROHTAK,HARYANA,ROHTAK,HARYANA,district_mode_selected,False,6,0,0,0,28.659227,76.583246
124501,17,2,1,JHAJJAR|ROHTAK,HARYANA,ROHTAK,HARYANA,district_mode_selected,False,17,0,0,0,28.622588,76.727685
124504,3,1,1,JHAJJAR,HARYANA,JHAJJAR,HARYANA,exact,True,3,0,0,0,28.669366,76.801399
124505,8,1,1,JHAJJAR,HARYANA,JHAJJAR,HARYANA,exact,True,8,0,0,0,28.696701,76.874014
124506,2,1,1,JHAJJAR,HARYANA,JHAJJAR,HARYANA,exact,True,2,0,0,0,28.708542,76.902704
124507,5,1,1,JHAJJAR,HARYANA,JHAJJAR,HARYANA,exact,True,5,0,0,0,28.670022,76.911235
124508,12,1,1,JHAJJAR,HARYANA,JHAJJAR,HARYANA,exact,True,12,0,0,0,28.645873,76.915459
124513,1,1,1,ROHTAK,HARYANA,ROHTAK,HARYANA,exact,True,1,0,0,0,29.010028,76.378172
124514,14,1,1,ROHTAK,HARYANA,ROHTAK,HARYANA,exact,True,14,0,0,0,28.719985,76.544766
124515,1,1,1,ROHTAK,HARYANA,ROHTAK,HARYANA,exact,True,1,0,0,0,28.55027,77.554259
125001,10,1,1,HISAR,HARYANA,HISAR,HARYANA,exact,True,8,0,2,0,29.186523,75.723072
125004,17,1,1,HISAR,HARYANA,HISAR,HARYANA,exact,True,17,0,0,0,29.379998,75.544445
125005,20,1,1,HISAR,HARYANA,HISAR,HARYANA,exact,True,3,0,17,0,28.801852,75.746093
125006,4,1,1,HISAR,HARYANA,HISAR,HARYANA,exact,True,4,0,0,0,29.112347,75.660878
125007,8,1,1,HISAR,HARYANA,HISAR,HARYANA,exact,True,8,0,0,0,29.14644,75.563496
125011,4,1,1,HISAR,HARYANA,HISAR,HARYANA,exact,True,4,0,0,0,29.207074,75.685061
125033,28,1,1,HISAR,HARYANA,HISAR,HARYANA,exact,True,28,0,0,0,28.96447,76.278877
125037,3,1,1,HISAR,HARYANA,HISAR,HARYANA,exact,True,3,0,0,0,28.944861,75.826083
125038,6,1,1,HISAR,HARYANA,HISAR,HARYANA,exact,True,6,0,0,0,29.189575,76.224583
125039,18,1,1,HISAR,HARYANA,HISAR,HARYANA,exact,True,18,0,0,0,29.224611,75.972083
125042,10,1,1,HISAR,HARYANA,HISAR,HARYANA,exact,True,10,0,0,0,29.108694,75.235103
125044,6,1,1,HISAR,HARYANA,HISAR,HARYANA,exact,True,6,0,0,0,29.128833,75.784472
125047,13,2,1,FATEHABAD|HISAR,HARYANA,HISAR,HARYANA,district_mode_selected,False,1,0,12,0,29.416583,75.626667
125048,5,1,1,FATEHABAD,HARYANA,FATEHABAD,HARYANA,exact,True,1,0,4,0,29.416583,75.548667
125049,6,1,1,HISAR,HARYANA,HISAR,HARYANA,exact,True,6,0,0,0,29.159444,75.571086
