source_row_number,unique_id,name,organization_type,structurally_valid,exact_duplicate,scoring_eligible,issue_codes
91,f4748d3c-7f0c-40bb-9ba7-5081b54d4a43,Sujata Birla Hospital & Medical Research Center,facility,True,False,True,
92,f4a30fa3-2f7c-4ac3-82af-57ae3f0cbcb6,"Ganga Hospital, Coimbatore",facility,True,False,True,
93,f4e59208-5411-4232-bf6c-11493a8ee88b,Sanjeevani Hospital,facility,True,False,True,
94,f6a7f172-824b-49bd-b5ea-dbced9e4b350,Nair Hospital,facility,True,False,True,
95,f6e2e5a1-6ce2-43c4-89e1-49e5b7792374,Jaslok Hospital and Research Center,facility,True,False,True,
96,f73e1e8e-f5b0-4d55-9e93-9854283da691,Wadia Children Hospital Parel,facility,True,False,True,
97,fa445a1d-ff1a-40b5-95b4-7351e0cb7852,"Dr DY Patil Medical College and Hospital, Pune, India",facility,True,False,True,
98,fb4d070b-884b-4714-b494-f7a9408e7e74,Apollo Gleneagles Hospitals,facility,True,False,True,
99,fe51288d-92fa-4ea5-9113-06ced4150bc6,Noble Hospital,facility,True,False,True,
100,feac6fe2-dc57-4798-b03d-473761c03640,Meenakshi Mission Hospital & Research Centre,facility,True,False,True,
101,02331520-e043-4073-ad2c-f649608a1890,B P PODDAR HOSPITAL,facility,True,False,True,
102,02b010de-143d-4e1b-9d67-cb11877c4855,Karuna Hospital,facility,True,False,True,
103,02b8c9bf-79d5-4d46-adf9-615ed75f80aa,District Hospital,facility,True,False,True,
104,02bd3576-e778-4b33-9ee5-e9d5a2737432,Tulsi Eye Hospital,facility,True,False,True,
105,05beb942-bf27-4821-8ca9-3a242dc8591c,Yashoda Hospital,facility,True,False,True,
106,06011a36-bc17-4e2a-8308-6d029cef7be8,Womens Hospital,facility,True,False,True,
107,082c1e59-7d97-4dec-ba8b-0c3d4ce4bb43,"Holy Cross Super Speciality Hospital, Kottiyam, Kollam",facility,True,False,True,
108,08344cdb-f455-4c22-8d31-a0a8e849124b,MOSC Medical College Hospital,facility,True,False,True,duplicate_unique_id
109,08344cdb-f455-4c22-8d31-a0a8e849124b,MOSC Medical College Hospital,facility,True,True,False,duplicate_unique_id
110,08caca6c-5284-47c9-acf6-6ddb37a93028,Medica Superspecialty Hospital Kolkata,facility,True,False,True,
111,0a77c719-b39a-423f-821e-16a965dd95fb,S.S. Dental Hospital,facility,True,False,True,
112,0c234a89-24b7-4b86-a5dc-45acaffe520c,Chandan Hospital,facility,True,False,True,
113,0dcce993-85a7-4d73-858b-fd6f9385c68f,"Ahalia Foundation Eye Hospital, Mukkom",facility,True,False,True,
114,0ed7fc50-4be6-4040-a10c-0aa531e055f1,Sri Narayani Hospital And Research Centre,facility,True,False,True,
115,0efe603a-46ab-4316-a57d-87c74b9147dd,Deepam Hospital,facility,True,False,True,
116,1186d459-ad5b-4462-b100-7146cf31dad9,Sri Guru Ram Das Institute of Medical Sciences and Research,facility,True,False,True,
117,12497314-7ec6-49df-aab5-56f86cd8d275,Malar Hospital,facility,True,False,True,
118,12d318d4-1082-4ec7-a58b-d6258ad8c05f,Shekhar Hospital,facility,True,False,True,
119,19363b8d-7ad9-45f6-bdcc-66d5ed07b6f5,Ajanta Hospital & Ivf Centre,facility,True,False,True,
120,Dr. Gita Khanna has established Ajanta Hospital and IVF Centre a 100 plus bedded multispeciality hospital of International repute. The state of art IVF Centre of this hospital combines quality, and accountability in equal measures and is providing assisted reproduction techniques of International standards within the reach of every individual. Dr. Anil Khanna has also established Ajanta Hospital," Doctor couple's unblemished efforts help to gain a dauntless and successful outcome. they devoted 25 years of their life to the service of mankind accepting all challenges with the spirit to ever grow and ever learn the latest and International Scientific Medical technology and bring it to this part of the country.""",False,False,False,invalid_unique_id|invalid_organization_type
121,1c3f0043-bd07-44ea-854c-f9065dbfb0ac,Aditya Birla Memorial Hospital,facility,True,False,True,
122,1d3eba0c-607c-4195-a818-11147ff5d301,Chettinad Hospital and Research Institute,facility,True,False,True,
123,1ee8a79c-bf5a-4cb5-81e1-3df1a31c05fa,Shri Ram Hospital,facility,True,False,True,
124,1fecf8f2-3de2-4a25-bfda-bc868419c78f,Anant Hospital,facility,True,False,True,
125,20f524d1-83fa-46fc-be08-92bef8ed26aa,Deepak Hospital,facility,True,False,True,
126,231f141f-cc05-42a9-949a-accf4bab933c,United CIIGMA Hospital,facility,True,False,True,
127,23262e3f-4604-4f04-bda8-611cd34dae36,"Dr. Babasaheb Ambedkar Hospital & Research Center, Nagpur",facility,True,False,True,
128,253a699b-b565-4691-b6d9-34333f3296ba,Andhra Hospitals,facility,True,False,True,
129,25da3435-6114-4742-898b-f1cbcd471e43,Asian Institute of Gastroenterology,facility,True,False,True,
130,2770287f-f0a9-4530-b54e-e20f3d8b5a54,"Brahmananda Narayana Multispeciality Hospital, Jamshedpur",facility,True,False,True,
131,2831f4e7-9111-4ec4-827f-f6cc067f958a,Medicover Hospital,facility,True,False,True,
132,29903d8a-3433-4240-b1eb-91094a7551d4,"Jawaharlal Nehru Medical College and Hospital, Bhagalpur",facility,True,False,True,
133,2bd17078-0aa1-4e45-bfc8-2b204de649b9,Life Line Hospital Kanpur,facility,True,False,True,
134,2cb66ffa-8f3b-40be-9242-9431a9a96a5d,CARE Hospitals - Nagpur,facility,True,False,True,
135,2cd8f536-639e-438f-a0d4-84b3449e820f,Lokpriya Hospital,facility,True,False,True,
136,2da59852-cfd0-4677-88fe-bc9f343a9bbb,Lokmanya Tilak Municipal Medical College and General Hospital,facility,True,False,True,
137,2ecda5c2-b9ba-40b2-8bd9-ad3117fda92c,Vedanta Hospital,facility,True,False,True,
138,2f41ede8-cac3-4751-ad4b-3ca7ec50415b,Fortis Hospital,facility,True,False,True,
139,30494fe0-d130-4168-84a5-02b78a773940,Kalinga Hospital,facility,True,False,True,
140,320add3e-1571-45a1-b56f-27736f35c4aa,Manipal Hospitals,facility,True,False,True,
141,3477b64c-a135-4493-9a32-3a7fc7d213da,"Rajindra Hospital, Patiala",facility,True,False,True,
142,3523c38d-20d0-4b72-ba73-1cb85cefe762,Life Line Hospital,facility,True,False,True,
143,357f6196-2f16-4b6e-bf93-99ac5a9ee5cc,Paras Hospital,facility,True,False,True,
144,371530ef-c0eb-4164-b451-49fad0ad73ed,"JSS Medical College and Hospital, Mysore, Karnataka, India",facility,True,False,True,
145,37557f7d-3f08-48ac-bed9-d86d7977e166,"Hindu Mission Hospital, Chennai",facility,True,False,True,
146,37e39295-470a-45ec-a01a-c6db51ae4787,Ankur Hospital,facility,True,False,True,
147,37fd5d46-e1cb-458e-9a64-9d85dada49ee,Sania Hospital,facility,True,False,True,
148,3825b33f-8ad0-451c-9b06-cc5693d837c2,"Care Institute of Medical Sciences, Ahmedabad",facility,True,False,True,
149,3973f354-7588-4375-a5c1-f85957185077,CKS Hospital,facility,True,False,True,
150,39d34a57-8579-4c30-bd0a-84ff0219c317,Sanjay Gandhi Post Graduate Institute of Medical Sciences,facility,True,False,True,
151,3cf1514d-f6b1-4279-a9fe-2d28404ff403,Neera Hospital,facility,True,False,True,
152,3d2af64f-3024-4db5-b048-0fc7e42a7174,Jeevan Jyot Hospital,facility,True,False,True,
153,40649422-32ee-4ec5-ac26-682062014981,People Tree Hospitals,facility,True,False,True,
154,43314551-6383-409f-a592-1d2153a8e241,Bhagwan Mahavir Hospital Government of NCT Delhi,facility,True,False,True,
155,43b49211-16a2-4a6f-bcc1-574b6d8a7f0b,Om Mother N Child Hospital,facility,True,False,True,
156,43d4dca8-12a5-479b-a463-54e6342a2f3d,Malkangiri District Headquarters Hospital,facility,True,False,True,
157,460fd54a-8615-4d8b-afe1-ff8d7d4f10a7,Be Well Hospitals,facility,True,False,True,
158,47de9126-32d1-40e3-ae92-74c72b6ed9b2,Maa Ram Pyari Hospital,facility,True,False,True,
159,500deb79-33dc-42b7-bf20-299c89a63281,Saifee Hospital Mumbai India,facility,True,False,True,
160,50fd80f8-1496-4e6d-be97-1166597daf74,Hero DMC Heart Institute,facility,True,False,True,
161,5106028d-191f-4a51-a596-05d8b41e857b,Wockhardt Hospital,facility,True,False,True,
162,52e80a01-c62b-4cd2-b699-2a2b1806ef78,Narmada Truama Centre,facility,True,False,True,
163,54946f79-25d8-40a7-b43b-9e41b888fd5d,Kamakshi Memorial Hospital,facility,True,False,True,
164,54c07666-ff53-4ca6-9758-dc11ddca1c6b,Life Line Hospital,facility,True,False,True,
165,54dc4aab-112a-44fc-935e-402832f2e5d9,Ganesh Hospital,facility,True,False,True,
166,5506f14e-e1e9-44a7-9e76-09304e2355d4,Park Clinic,facility,True,False,True,
167,55566db2-b15f-473d-8a87-1ca743046bc1,Ortho Plus Hospital,facility,True,False,True,
168,58f1d117-1043-4761-abc2-254274e11cd7,District Hospital Durg,facility,True,False,True,
169,5b4b5514-981e-4e69-bcf0-05d0398472ba,"Jehangir Hospital, Pune, Maharashtra, India",facility,True,False,True,
170,5d196494-7038-44e8-8f46-fa4cc54a8772,Aadhar Multispeciality Hospital,facility,True,False,True,
171,5d84132d-1494-46ae-8558-d33d06e312fc,Sanar International Hospital,facility,True,False,True,
172,5ec4d531-7fe3-4953-906e-8a97cfaf0ba5,"Shivam Nursing Home, Moradabad",facility,True,False,True,
173,5f23c957-e5fa-4c66-b850-079f66027342,Sri Krishna Hospital (Proddutur),facility,True,False,True,
174,5f972072-6f42-47e3-abaa-5f8f7c4609dd,Sterling Hospitals,facility,True,False,True,
175,61ed89ad-11b3-4162-9881-d754f7442760,Navjeevan Hospital,facility,True,False,True,
176,62665a19-9ce2-4efe-b6aa-301b277a341b,Bopal Multispeciality Hospital,facility,True,False,True,
177,63d4e9b8-477d-43d0-a25d-77f3a979757b,DREAMLAND NURSING HOME,facility,True,False,True,
178,656efe71-c867-4df5-aeaf-7a1f8168fa8a,Eskag Sanjeevani Multispeciality Hospital,facility,True,False,True,
179,669a2138-8717-44cc-a990-276d0ebd709b,Phoenix Hospital,facility,True,False,True,
180,690e6d2a-419c-4d80-92c1-1007950e1fcd,Aditi Hospital,facility,True,False,True,
181,6c51a7fd-e025-4ad5-b923-98fd20c755f9,Life Care Hospital,facility,True,False,True,
182,6df82e1b-8356-4fef-8779-f99b5c9c90ae,Lotus Eye Hospital And Institute,facility,True,False,True,
183,6f8a8416-e1a0-4b46-b15c-a8b52d47cf83,Sanjeevani Hospital,facility,True,False,True,
184,723a6e17-fdf9-4af8-ae80-b16ea3b98244,"Hospitales CARE, Raipur",facility,True,False,True,
185,73c876e1-fda5-48eb-9a93-27e2763b25ff,Medica North Bengal Clinic Siliguri,facility,True,False,True,
186,7407a4ce-b283-41b5-8887-21f1d1f57955,Anand Hospital,facility,True,False,True,
187,745e36ca-5907-4875-b607-bd2328b5a5f4,Bhatia Hospitals,facility,True,False,True,
188,78cfb5f5-5222-4d8c-b7c6-709edb2da356,Satyam Hospital,facility,True,False,True,
189,7b71adc1-9169-499c-9eef-161d7460972c,Sahyadri Hospitals,facility,True,False,True,
190,7cfbe1c0-0161-416c-bb50-df4c7e601886,HOSMAT Hospital,facility,True,False,True,
191,7d7cc3df-2fd2-4c57-8cb0-428ace240bd1,Niramay Hospital,facility,True,False,True,
192,7e08f70c-6fc4-49f8-a1e9-fdddda2e0469,Omega Hospital,facility,True,False,True,
193,7fa87636-fa2a-47fe-8240-c676b11d0599,"Katihar Medical College and Hospital, Katihar",facility,True,False,True,
194,7fcd1e71-fa80-4108-9432-d9fd6a05d7bb,P.D. Hinduja Sindhi Hospital,facility,True,False,True,
195,8048b60a-3c51-4b25-a52e-b4a9bd18d8e0,Alpha Superspeciality Hospital,facility,True,False,True,
196,80bf74d5-9308-4525-9309-c8ea1536e231,Sankara Nethralaya,facility,True,False,True,
197,8364c81e-4bde-4991-b443-f818ac474136,Dhanwantari Hospital,facility,True,False,True,
198,83f1bfc7-fb4a-4ff9-9f33-34ddf58fda1b,"Ujala Cygnus JK Medicity Hospital, Jammu",facility,True,False,True,
199,8619b7eb-7f9d-45d1-8bd5-d3687a61f616,Sancheti Hospital,facility,True,False,True,
200,86239f9a-871e-4a4d-b929-8863aa07db03,Voluntary Health Services,facility,True,False,True,
201,876283eb-7d26-425d-93e8-d1d857c79611,Lokmanya Hospital (Nigdi),facility,True,False,True,
202,882dfdeb-2728-4cb7-8804-591b3b3543c8,Aayush Hospital,facility,True,False,True,
203,8899400e-c17d-4eb4-a07e-77565f6027af,"Sri Sathya Sai Super Speciality Hospital COVID care centre, Puttaparthi",facility,True,False,True,
204,88b632fc-787b-4490-bd7d-275b2e39a5d7,Krishna Hospital,facility,True,False,True,
205,895db286-ca63-4b15-8593-1d93f390f95d,Niramaya Hospital,facility,True,False,True,
206,8aed4cd1-bd6b-42c5-8c69-5565e2acff7b,"Sakra World Hospital, Bengaluru",facility,True,False,True,
207,8e2224ab-e6d4-4241-aea5-e9ab67525034,Disha Eye Hospital,facility,True,False,True,
208,8ed2e983-dadf-4caf-b9fa-821975ef8394,CritiCare Asia Multispeciality Hospital Kurla,facility,True,False,True,
209,907f5a8b-088d-484d-82d6-b92a9465f160,Nova Hospital,facility,True,False,True,
210,90eaae09-bcf4-44ec-953a-2ed6bd0f880a,Shraddha Hospital,facility,True,False,True,
211,91c9ce8e-1e04-43a1-9a48-16f44cac283a,"Sankara Eye Hospital, Bangalore, India",facility,True,False,True,
212,92dd37f1-293c-4b0b-bcb3-91cf8aa3e951,"SCB Medical College and Hospital, Cuttack",facility,True,False,True,
213,9433ea25-31af-43a2-8512-e07d58b2d269,Vishwaraj Hospital,facility,True,False,True,
214,94cfa2e6-28a9-4597-ac9b-8769b0743955,Medicover Hospitals,facility,True,False,True,
215,95348d2b-e7b5-4c8d-973d-661fa882e3fa,"Narayana Superspeciality Hospital, Guwahati, Assam",facility,True,False,True,
216,960bb40b-02cd-4fb0-bd4a-50787a3f009c,Life Care Hospital,facility,True,False,True,
217,9778b758-7c44-40bb-9741-b0060e6215f5,Orbit Eye Hospital,facility,True,False,True,
218,9854b196-eb96-42cb-8fa8-3ddff8e58546,Hindu Mission Health Services,facility,True,False,True,
219,98ab8870-45e4-4a99-b5c8-a2c193297dfa,Susrut Eye Foundation and Research Centre,facility,True,False,True,
220,9913a22f-2bab-492c-b14f-764f1fb33a64,Medical Trust Hospital,facility,True,False,True,
221,9b3e056c-1d44-42b6-b8d3-a7afb14157f7,Rai Hospital,facility,True,False,True,
222,a122e838-90c4-4be0-a4cc-0b66e0ea62a0,Desun Hospital,facility,True,False,True,
223,a348253a-3eea-4253-adce-093a29fd42ed,Morya Hospital,facility,True,False,True,
224,a3ba0f20-be4a-45c6-902a-92e8b0438bd1,Vasan Eye Care Hospital,facility,True,False,True,
225,a45cac41-6d27-41ab-878b-7dfb89ec8f33,Charak Hospital And Research Centre,facility,True,False,True,
226,a49dc58d-6ddb-423c-8575-426c9657fca4,Nethradhama Super Speciality Eye Hospital - Whitefield,facility,True,False,True,
227,a4f28974-4909-4831-ba98-544d31acdd78,Akhand Jyoti Eye Hospital,facility,True,False,True,
228,a83112ff-48ab-4c84-a3ca-89e3ed6fd23b,Global Hospital Pune,facility,True,False,True,
229,a9b56d47-b5d7-43d4-9d16-7dcb73775bc1,Silchar Medical College & Hospital,facility,True,False,True,
230,aa4b8ccc-fc61-4681-bce6-6443366c5ed2,Care Dental Hospital,facility,True,False,True,
231,aa9f112c-606f-471f-9542-b3e414045573,Kumaran Hospital,facility,True,False,True,
232,ac4c39ce-8c64-4bab-a4db-1b3dca1ea817,Jyoti Hospital,facility,True,False,True,
233,acd22962-2d73-4e83-8f45-ff995a417c34,J J Eye Hospital,facility,True,False,True,
234,af367ffd-e872-479b-bed4-b67e420e0b35,Rani Hospital,facility,True,False,True,
235,af612410-073f-4a62-98dd-a8ac412dbd5c,"Aster Ramesh Hospital, Guntur",facility,True,False,True,
236,af676ce0-cdb3-4997-9104-0963f09e48f0,Indiranagar - Refractive (Lasik & SMILE) & Dry Eye Hub,facility,True,False,True,
237,b08cd135-b6a5-420f-b8ee-7c281bf133e4,Charnock Hospital,facility,True,False,True,
238,b36ffd6e-8639-4e11-bddf-22cb396a731b,Sri Lakshmi Super Speciality Hospital,facility,True,False,True,
239,b3b4b4dc-b977-4196-8639-22f6b831b972,Mavjat Multispeciality Hospital,facility,True,False,True,
240,b4a856d0-f9fc-4d63-bac4-5bc0be6c099c,Eye-Q Super Speciality Eye Hospital,facility,True,False,True,
241,b5a57699-76c4-4ba4-9936-713c233e752a,"King George's Medical University, Lucknow",facility,True,False,True,
242,b5b7189b-e7cd-4eb2-a17b-f142c92d83cd,Mahindru Hospital,facility,True,False,True,
243,b77ac271-e6d0-4502-beb0-d38853ced86c,Metro Umkal Hospital & Heart Institute,facility,True,False,True,
244,b7ad3ec1-b111-4c7f-8dfe-79d17ecc28db,Navin Hospital,facility,True,False,True,
245,b9386c11-f799-4fd3-9f1e-54f26b2e7b6b,"Government ESI Medical College, Coimbatore",facility,True,False,True,
246,ba30b47f-723c-4859-903d-0057187f27a0,Gem Hospital & Research center,facility,True,False,True,
247,ba614eea-a018-46ac-a052-a7e46721d85a,Kamalnayan Bajaj Hospital,facility,True,False,True,
248,bbdf6de2-17ba-4029-a7e5-81e902b11067,Osmania General Hospital,facility,True,False,True,
249,bbf46f87-47c0-4be1-a0ea-808e6f889df5,General Hospital Ernakulam,facility,True,False,True,
250,bd77bf7d-4822-4932-81bf-7489f5d510e9,"Apollo Hospital, Guwahati, India",facility,True,False,True,
251,bfe9ab42-2261-442b-b8b3-4c6fc47ad86b,G. Kuppusamy Naidu Memorial Hospital,facility,True,False,True,
252,c0a9fc95-afa7-4695-a1cd-332b4a13e791,Aastha Hospital,facility,True,False,True,
253,c1df732e-b76d-481f-a720-cff7dd930283,SMS Hospital,facility,True,False,True,
254,c4f65c3f-6f9b-45a3-b8ff-dddaa9d7cad6,Kidwai Memorial Institute of Oncology,facility,True,False,True,
255,c57fbffb-29af-4533-9ea3-6a3fb73715cb,Sum Hospital,facility,True,False,True,
